Name,Soma_region,Cortical_layer,Transgenic_line,Brain_id,Subclass_or_type,Celltype,Celltype_,Celltype__
18457_00115,ACB,n/a,Vipr2-IRES2-Cre-neo,Ai166_381484-18457,18457,,ACB,
18457_00133,ACB,n/a,Vipr2-IRES2-Cre-neo,Ai166_381484-18457,18457,,ACB,
18457_00170,ACB,n/a,Vipr2-IRES2-Cre-neo,Ai166_381484-18457,18457,,ACB,
18458_00500,ACB,n/a,Vipr2-IRES2-Cre-neo,Ai166_381487-18458,18458,,ACB,
18465_00199,ACB,n/a,Vipr2-IRES2-Cre-neo,Ai166_383128-18465,18465,,ACB,
18465_00203,ACB,n/a,Vipr2-IRES2-Cre-neo,Ai166_383128-18465,18465,,ACB,
18465_00204,ACB,n/a,Vipr2-IRES2-Cre-neo,Ai166_383128-18465,18465,,ACB,
18465_00205,ACB,n/a,Vipr2-IRES2-Cre-neo,Ai166_383128-18465,18465,,ACB,
18465_00206,ACB,n/a,Vipr2-IRES2-Cre-neo,Ai166_383128-18465,18465,,ACB,
18465_00207,ACB,n/a,Vipr2-IRES2-Cre-neo,Ai166_383128-18465,18465,,ACB,
17302_00023,AM,n/a,Tnnt1-IRES2-CreERT2,Ai82,Ai140_321237-17302,17302,TH_core,AM
18454_00099,AM,n/a,Tnnt1-IRES2-CreERT2,Ai82,Ai140_373367-18454,18454,TH_core,AM
18455_4982_x21552_y14337,AM,n/a,Tnnt1-IRES2-CreERT2,Ai82,Ai140_373368-18455,18455,TH_core,AM
18458_00375,AM,n/a,Vipr2-IRES2-Cre-neo,Ai166_381487-18458,18458,TH_core,AM,
18458_00376,AM,n/a,Vipr2-IRES2-Cre-neo,Ai166_381487-18458,18458,TH_core,AM,
18457_00081,AON,n/a,Vipr2-IRES2-Cre-neo,Ai166_381484-18457,18457,,AON,
191801_1996_x10466_y16907,AON,n/a,Cux2-CreERT2,Ai166_420489-191801,191801,,AON,
17109_1701_x8048_y22277,AId,6,Gnb4-IRES2-CreERT2,Ai140_297974-17109,17109,Car3,Car3_AId,
17109_1801_x6698_y12550,AId,6,Gnb4-IRES2-CreERT2,Ai140_297974-17109,17109,Car3,Car3_AId,
17109_1901_x9602_y10508,AId,6,Gnb4-IRES2-CreERT2,Ai140_297974-17109,17109,Car3,Car3_AId,
17109_2301_x8535_y23051,AId,6,Gnb4-IRES2-CreERT2,Ai140_297974-17109,17109,Car3,Car3_AId,
17109_2301_x9418_y23665,AId,6,Gnb4-IRES2-CreERT2,Ai140_297974-17109,17109,Car3,Car3_AId,
17109_2401_x9338_y2394,AId,6,Gnb4-IRES2-CreERT2,Ai140_297974-17109,17109,Car3,Car3_AId,
17109_2401_x9954_y9122,AId,6,Gnb4-IRES2-CreERT2,Ai140_297974-17109,17109,Car3,Car3_AId,
17109_2601_x9498_y8169,AId,6,Gnb4-IRES2-CreERT2,Ai140_297974-17109,17109,Car3,Car3_AId,
