u16_id_lr_mask,count,modality,modality_color,brain,n316_acronym,n70_acronym,n8_acronym,n316_acronym_lr,n70_acronym_lr,n8_acronym_lr
764,654999,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,MOB,OLF,CTX,MOB_r,OLF_r,CTX_r
762,568735,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,MOB,OLF,CTX,MOB_r,OLF_r,CTX_r
784,422906,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,AON,OLF,CTX,AON_r,OLF_r,CTX_r
588,2315,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,AIv,AI,CTX,AIv_r,AI_r,CTX_r
564,817,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,AId,AI,CTX,AId_r,AI_r,CTX_r
522,36596,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,ORBl,ORB,CTX,ORBl_r,ORB_r,CTX_r
1158,4429752,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,OT,STRv,CNU,OT_r,STRv_r,CNU_r
1220,25017,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,0,PALd,CNU,0_r,PALd_r,CNU_r
1240,28998,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,TRS,PALm,CNU,TRS_r,PALm_r,CNU_r
1594,72349,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,PST,LZ,HY,PST_r,LZ_r,HY_r
1592,35105,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,LPO,LZ,HY,LPO_r,LZ_r,HY_r
1230,585638,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,MA,PALv,CNU,MA_r,PALv_r,CNU_r
1146,82171,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,0,STRd,CNU,0_r,STRd_r,CNU_r
1434,70447,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,0,PVZ,HY,0_r,PVZ_r,HY_r
1410,2117,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,0,GENv,TH,0_r,GENv_r,TH_r
1246,13163,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,BST,PALc,CNU,BST_r,PALc_r,CNU_r
1292,1322,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,VM,VENT,TH,VM_r,VENT_r,TH_r
1190,17007,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,BA,sAMY,CNU,BA_r,sAMY_r,CNU_r
1232,20035,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,0,PALm,CNU,0_r,PALm_r,CNU_r
1224,6584,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,GPi,PALd,CNU,GPi_r,PALd_r,CNU_r
1508,312,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,SFO,PVR,HY,SFO_r,PVR_r,HY_r
1512,2226,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,VLPO,PVR,HY,VLPO_r,PVR_r,HY_r
1507,2,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,SFO,PVR,HY,SFO_l,PVR_l,HY_l
1504,116,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,SBPV,PVR,HY,SBPV_r,PVR_r,HY_r
1506,361,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,SCH,PVR,HY,SCH_r,PVR_r,HY_r
892,569,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,PAA,OLF,CTX,PAA_r,OLF_r,CTX_r
836,911736,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,PIR,OLF,CTX,PIR_r,OLF_r,CTX_r
1150,388163,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,0,STRv,CNU,0_r,STRv_r,CNU_r
1518,10199,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,AHN,MEZ,HY,AHN_r,MEZ_r,HY_r
1294,1974,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,0,VP,TH,0_r,VP_r,TH_r
858,6955,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,COAa,COA,CTX,COAa_r,COA_r,CTX_r
1138,2557,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,BMA,CTXsp,CTX,BMA_r,CTXsp_r,CTX_r
1114,5716,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,0,CTXsp,CTX,0_r,CTXsp_r,CTX_r
1200,400,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,IA,sAMY,CNU,IA_r,sAMY_r,CNU_r
1156,35137,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,OT,STRv,CNU,OT_r,STRv_r,CNU_r
1384,85,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,0,MTN,TH,0_r,MTN_r,TH_r
1286,377,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,0,DORsm,TH,0_r,DORsm_r,TH_r
1438,7345,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,ASO,PVZ,HY,ASO_r,PVZ_r,HY_r
1492,40677,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,OV,PVR,HY,OV_r,PVR_r,HY_r
1514,2742,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,0,MEZ,HY,0_r,MEZ_r,HY_r
1360,362,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,AD,ATN,TH,AD_r,ATN_r,TH_r
1608,119,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,ZI,LZ,HY,ZI_r,LZ_r,HY_r
1556,2343,LSFM-Osten,purple,A2ds221_sitich_terafly_ver4.0,MPN,MEZ,HY,MPN_r,MEZ_r,HY_r
