u16_id_lr_mask,count,modality,modality_color,brain,n316_acronym,n70_acronym,n8_acronym,n316_acronym_lr,n70_acronym_lr,n8_acronym_lr
1914,2623,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,SPVO,MY-sen,HB,SPVO_r,MY-sen_r,HB_r
1976,9,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,MDRNv,MDRN,HB,MDRNv_r,MDRN_r,HB_r
1960,14145,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,ISN,MY-mot,HB,ISN_r,MY-mot_r,HB_r
1874,188318,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,0,MY-sen,HB,0_r,MY-sen_r,HB_r
1912,7,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,SPVI,MY-sen,HB,SPVI_r,MY-sen_r,HB_r
1978,940,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,PARN,MY-mot,HB,PARN_r,MY-mot_r,HB_r
1968,2492,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,LRN,MY-mot,HB,LRN_r,MY-mot_r,HB_r
1958,4815,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,IRN,MY-mot,HB,IRN_r,MY-mot_r,HB_r
2164,1654,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,PRM,HEM,CB,PRM_r,HEM_r,CB_r
2112,394,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,PYR,VERM,CB,PYR_r,VERM_r,CB_r
2172,7220,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,COPY,HEM,CB,COPY_r,HEM_r,CB_r
2171,30238,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,COPY,HEM,CB,COPY_l,HEM_l,CB_l
1967,67537,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,LRN,MY-mot,HB,LRN_l,MY-mot_l,HB_l
1873,282920,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,0,MY-sen,HB,0_l,MY-sen_l,HB_l
1911,3775,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,SPVI,MY-sen,HB,SPVI_l,MY-sen_l,HB_l
1979,166817,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,PAS,MY-mot,HB,PAS_l,MY-mot_l,HB_l
1975,18378,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,MDRNv,MDRN,HB,MDRNv_l,MDRN_l,HB_l
1913,87886,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,SPVO,MY-sen,HB,SPVO_l,MY-sen_l,HB_l
1959,125271,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,ISN,MY-mot,HB,ISN_l,MY-mot_l,HB_l
2163,12640,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,PRM,HEM,CB,PRM_l,HEM_l,CB_l
2120,398,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,UVU,VERM,CB,UVU_r,VERM_r,CB_r
2018,558,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,y,MY-mot,HB,y_r,MY-mot_r,HB_r
2028,19445,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,RO,MY-sat,HB,RO_r,MY-sat_r,HB_r
1892,7,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,GR,DCN,HB,GR_r,DCN_r,HB_r
2095,8940,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,DEC,VERM,CB,DEC_l,VERM_l,CB_l
1977,356955,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,PARN,MY-mot,HB,PARN_l,MY-mot_l,HB_l
2111,419,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,PYR,VERM,CB,PYR_l,VERM_l,CB_l
1957,86492,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,IRN,MY-mot,HB,IRN_l,MY-mot_l,HB_l
1953,98914,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,ICB,MY-mot,HB,ICB_l,MY-mot_l,HB_l
2119,273,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,UVU,VERM,CB,UVU_l,VERM_l,CB_l
1891,3,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,GR,DCN,HB,GR_l,DCN_l,HB_l
1947,674,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,DMX,MY-mot,HB,DMX_l,MY-mot_l,HB_l
2017,3774,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,y,MY-mot,HB,y_l,MY-mot_l,HB_l
1993,2430,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,PRP,PHY,HB,PRP_l,PHY_l,HB_l
2027,18865,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,RO,MY-sat,HB,RO_l,MY-sat_l,HB_l
2103,12,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,FOTU,VERM,CB,FOTU_l,VERM_l,CB_l
1900,6031,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,NTS,MY-sen,HB,NTS_r,MY-sen_r,HB_r
1980,16271,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,PAS,MY-mot,HB,PAS_r,MY-mot_r,HB_r
2012,676,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,SUV,VNC,HB,SUV_r,VNC_r,HB_r
2010,6945,LSFM-Wu,blue,WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,SPIV,VNC,HB,SPIV_r,VNC_r,HB_r
