acronym,centerx,centery,centerz
RSP_l,318.0826,39.6199,195.1585
RSP_r,317.9498,39.6695,260.1468
PTLp_r,298.9921,40.6121,326.0503
PTLp_l,298.9960,40.6378,129.3530
VIS_r,359.6457,58.2623,341.3820
VIS_l,359.6459,58.2869,114.0080
MBsen_r,398.5721,80.1809,272.0980
MBsen_l,398.6339,80.1969,183.2289
SSp_l,229.5568,82.3082,108.9746
SSp_r,229.5462,82.3085,346.4341
ACA_r,184.4554,86.7844,242.8535
ACA_l,184.4120,86.8500,212.3774
MO_r,157.0098,88.7909,296.3233
MO_l,157.0109,88.7929,159.0817
AUD_r,314.2984,114.4188,406.2560
AUD_l,314.3075,114.4427,49.1048
VERM_l,470.9796,115.9068,196.0435
VERM_r,471.0137,115.9156,259.0968
PRT_r,322.5018,123.3157,269.4150
PRT_l,322.4994,123.3166,185.9611
EPI_l,277.0327,125.1535,213.6430
EPI_r,276.9937,125.1640,241.7575
HIP_r,319.6358,129.9399,309.3485
HIP_l,319.7411,129.9681,145.9706
SS_r,244.2185,133.9258,394.0470
SS_l,244.2183,133.9401,61.3511
RHP_r,365.6729,134.0192,335.5987
RHP_l,365.6620,134.0225,119.8223
CA_l,315.3793,134.3441,121.2387
CA_r,315.3827,134.3572,334.1677
MBmot_r,362.5427,136.0032,262.9302
MBmot_l,362.5318,136.0840,192.3981
LAT_r,298.6898,139.8001,287.7589
LAT_l,298.7174,139.8140,167.6286
GENd_l,317.5795,140.7857,136.8405
GENd_r,317.6344,140.8133,318.5656
HEM_l,465.6048,146.3112,114.0677
HEM_r,465.5996,146.3160,341.3377
ATN_l,253.1604,147.2668,183.7463
ATN_r,253.1568,147.2803,271.6321
PALm_r,221.1999,148.0521,238.2934
ORB_r,114.2869,148.1505,268.5160
ORB_l,114.2963,148.1534,186.7730
PALm_l,221.1567,148.2469,216.8915
LSX_r,212.9637,148.4610,240.5313
LSX_l,212.9143,148.6325,214.6920
Isocortex_r,233.9058,150.5505,357.0576
Isocortex_l,234.1530,150.6210,97.9891
CBN_r,460.0956,157.1805,295.1191
CBN_l,460.1159,157.1844,160.2909
GENv_r,306.7293,157.2944,332.8575
GENv_l,306.7376,157.3006,122.5333
ILM_l,287.8270,162.8249,196.3376
ILM_r,287.6301,163.0039,258.7913
LS_r,194.0743,163.5280,246.6552
LS_l,194.0672,163.5387,208.7314
MED_r,270.0184,167.3214,244.3169
MED_l,269.9644,167.3623,210.9745
STRd_l,213.5473,168.1212,133.7944
STRd_r,213.5421,168.1232,321.5972
VP_l,281.1156,169.3656,158.0968
VP_r,281.1135,169.3752,297.2708
DORsm_r,312.7931,170.3435,259.6757
DORsm_l,313.0729,170.4234,195.1091
DORpm_l,257.5349,171.2122,152.8138
DORpm_r,257.5263,171.2171,302.5667
MBsta_l,377.6034,176.9486,175.6285
MBsta_r,377.5679,176.9594,279.7664
SPF_l,311.3717,180.5431,188.7533
SPF_r,311.3548,180.5592,266.5714
MTN_r,250.6933,182.0290,234.9037
MTN_l,250.5432,182.0961,220.2815
ENT_l,372.1779,182.7817,67.6411
ENT_r,372.1628,182.7859,387.7591
VENT_l,274.3696,184.4822,181.8124
VENT_r,274.3774,184.4902,273.5862
AI_l,171.6381,186.6446,101.0160
AI_r,171.6514,186.6536,354.4120
VNC_l,453.1565,191.6687,181.3961
VNC_r,453.1529,191.6790,274.0167
RAmb_r,358.0190,193.9764,232.3787
RAmb_l,357.4539,194.6886,222.7321
PALd_r,249.0233,194.7850,316.2771
PALd_l,249.0274,194.7902,139.1060
OLF_l,130.5080,205.1873,157.8949
OLF_r,130.6091,205.2049,297.5364
DCN_l,512.6684,205.7819,198.7604
DCN_r,512.6615,205.7908,256.6409
PHY_l,464.9844,206.3791,217.8843
PHY_r,465.0200,206.3904,237.4287
P-sat_r,385.5442,207.0690,256.2374
P-sat_l,385.5397,207.0919,199.0482
PALc_l,214.2820,207.1902,191.4445
PALc_r,214.2617,207.2139,263.9423
P-sen_l,401.3167,216.7411,160.9108
P-sen_r,401.3237,216.7580,294.5056
CN_r,435.0873,218.0900,331.3802
CN_l,435.0681,218.1196,124.0296
EP_l,242.8130,225.9812,97.4409
EP_r,242.7626,225.9911,357.9164
P-mot_r,396.8757,227.2597,258.5688
P-mot_l,396.8590,227.2823,196.7764
LZ_l,272.3725,230.0593,176.9108
LZ_r,272.3526,230.0608,278.4879
MY-sen_r,485.1399,230.6381,292.9860
MY-sen_l,485.1497,230.6451,162.3565
CTXsp_r,279.8659,236.5966,350.4633
CTXsp_l,279.8616,236.5995,104.9443
MSC_r,191.9963,236.9763,245.0513
MSC_l,192.2745,237.9242,209.7741
HY_l,265.5123,240.4443,196.8083
HY_r,265.5097,240.4629,258.3927
MBO_r,320.0014,240.8591,243.4772
MBO_l,319.9847,240.8830,211.6735
sAMY_l,264.4526,245.8118,135.3485
sAMY_r,264.4617,245.8220,320.0465
MEZ_r,266.9581,246.8704,244.5691
MEZ_l,266.9755,246.9173,210.7648
MY-mot_r,461.4153,248.9500,264.0639
MY-mot_l,461.4244,248.9556,191.2878
PVR_r,230.4931,249.7373,242.2900
PVR_l,230.4056,249.9398,212.8979
MDRN_l,510.5202,251.2510,190.4158
MDRN_r,510.5205,251.2601,265.0009
PALv_l,201.5347,251.3920,166.1150
PALv_r,201.5443,251.3929,289.2952
STRv_l,174.2695,252.1242,170.8030
STRv_r,174.2755,252.1283,284.6132
PVZ_r,262.8292,258.0222,235.9664
PVZ_l,263.1554,258.2114,219.1529
PGRN_r,462.0743,259.6416,265.5309
PGRN_l,462.1052,259.6507,189.8629
TM_r,301.0333,264.9578,259.0178
TM_l,300.9983,264.9814,196.2318
MY-sat_r,444.7739,267.7629,228.6520
MY-sat_l,444.2562,268.2585,226.5337
COA_l,300.2968,273.9779,115.4491
COA_r,300.2882,273.9835,339.9514
