brain,AUD_l,SS_l,ENT_l,EP_l,Isocortex_l,AI_l,CTXsp_l,SSp_l,VIS_l,HEM_l,COA_l,RHP_l,CA_l,GENv_l,CN_l,PTLp_l,STRd_l,sAMY_l,GENd_l,PALd_l,HIP_l,DORpm_l,OLF_l,VP_l,MO_l,CBN_l,P-sen_l,MY-sen_l,PALv_l,LAT_l,STRv_l,MBsta_l,LZ_l,VNC_l,VENT_l,MBsen_l,ATN_l,PRT_l,ORB_l,SPF_l,PGRN_l,MDRN_l,MY-mot_l,PALc_l,MBmot_l,DORsm_l,RSP_l,VERM_l,TM_l,ILM_l,P-mot_l,HY_l,DCN_l,P-sat_l,LS_l,MSC_l,MEZ_l,MED_l,MBO_l,ACA_l,PVR_l,EPI_l,LSX_l,PALm_l,PHY_l,PVZ_l,MTN_l,RAmb_l,MY-sat_l,MY-sat_r,RAmb_r,MTN_r,PVZ_r,PHY_r,PALm_r,LSX_r,EPI_r,PVR_r,ACA_r,MBO_r,MED_r,MEZ_r,MSC_r,LS_r,P-sat_r,DCN_r,HY_r,P-mot_r,ILM_r,TM_r,VERM_r,DORsm_r,RSP_r,MBmot_r,PALc_r,MY-mot_r,MDRN_r,PGRN_r,SPF_r,ORB_r,PRT_r,ATN_r,MBsen_r,VENT_r,VNC_r,LZ_r,MBsta_r,STRv_r,LAT_r,PALv_r,MY-sen_r,P-sen_r,CBN_r,MO_r,VP_r,OLF_r,DORpm_r,HIP_r,PALd_r,GENd_r,sAMY_r,STRd_r,PTLp_r,CN_r,GENv_r,CA_r,RHP_r,COA_r,HEM_r,VIS_r,SSp_r,CTXsp_r,AI_r,Isocortex_r,EP_r,ENT_r,SS_r,AUD_r
190891,892.0,4.0,330.0,6.0,52.0,105.0,1.0,753.0,270.0,4662.0,35.0,175.0,157.0,316.0,500.0,262.0,129.0,143.0,163.0,32.0,285.0,6.0,5608.0,1040.0,1015.0,1451.0,6615.0,8262.0,57.0,490.0,249.0,59.0,481.0,4423.0,233.0,2713.0,43.0,45.0,157.0,11.0,480.0,638.0,8139.0,8.0,2804.0,46.0,612.0,3259.0,19.0,77.0,5202.0,11.0,817.0,2046.0,2.0,11.0,123.0,199.0,113.0,473.0,61.0,26.0,5.0,82.0,358.0,164.0,38.0,472.0,228.0,185.0,617.0,0.0,156.0,249.0,155.0,9.0,36.0,131.0,5116.0,186.0,177.0,61.0,8.0,5.0,1568.0,880.0,4.0,5135.0,54.0,13.0,4456.0,35.0,305.0,3043.0,2.0,8261.0,314.0,229.0,1.0,152.0,26.0,14.0,5928.0,57.0,4600.0,436.0,97.0,247.0,138.0,77.0,5560.0,5511.0,830.0,1971.0,462.0,5998.0,12.0,319.0,78.0,75.0,110.0,72.0,5.0,488.0,332.0,198.0,234.0,64.0,3632.0,39.0,735.0,314.0,44.0,797.0,23.0,214.0,52.0,15.0
190892,0.0,0.0,68.0,0.0,14.0,2.0,0.0,65.0,0.0,102455.0,0.0,11.0,6.0,4.0,9.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,2826.0,4.0,40.0,2.0,1167.0,2140.0,0.0,9.0,66.0,0.0,2.0,2428.0,0.0,508.0,0.0,6.0,0.0,0.0,46.0,87.0,770.0,0.0,467.0,0.0,17.0,476.0,0.0,0.0,1517.0,7.0,92.0,471.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,110.0,18.0,0.0,120.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,452.0,124.0,0.0,1112.0,3.0,0.0,345.0,16.0,14.0,355.0,0.0,703.0,12.0,67.0,0.0,0.0,0.0,0.0,513.0,1.0,1050.0,21.0,3.0,1.0,5.0,0.0,490.0,1017.0,36.0,126.0,9.0,2651.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,31.0,0.0,1583.0,0.0,107.0,56.0,0.0,65.0,0.0,100.0,7.0,4.0
190900,0.0,0.0,0.0,0.0,4.0,0.0,1.0,39.0,4.0,6078.0,207.0,14.0,4.0,11.0,21.0,0.0,2.0,0.0,0.0,1.0,19.0,2.0,2306.0,9.0,43.0,61.0,433.0,193.0,1.0,18.0,14.0,6.0,44.0,422.0,0.0,198.0,0.0,31.0,1.0,1.0,63.0,11.0,311.0,0.0,242.0,76.0,4.0,21450.0,0.0,3.0,1021.0,0.0,22.0,220.0,0.0,0.0,0.0,17.0,27.0,2.0,0.0,0.0,2.0,0.0,8.0,14.0,0.0,152.0,0.0,9.0,115.0,0.0,15.0,18.0,0.0,0.0,1.0,0.0,4.0,2.0,14.0,4.0,0.0,0.0,303.0,4.0,0.0,380.0,18.0,0.0,319.0,8.0,89.0,348.0,0.0,335.0,24.0,37.0,0.0,10.0,7.0,1.0,534.0,0.0,613.0,71.0,10.0,51.0,34.0,0.0,541.0,477.0,11.0,1103.0,22.0,2535.0,0.0,33.0,0.0,1.0,13.0,0.0,0.0,5.0,5.0,5.0,2.0,7.0,588.0,9.0,2411.0,0.0,0.0,3.0,0.0,90.0,6.0,14.0
190902,0.0,3.0,10.0,0.0,4.0,9.0,0.0,125.0,5.0,398.0,6.0,9.0,18.0,3.0,96.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,2636.0,7.0,15.0,7.0,284.0,165.0,0.0,13.0,200.0,5.0,53.0,334.0,2.0,537.0,0.0,8.0,5.0,5.0,6.0,16.0,213.0,0.0,78.0,1.0,132.0,548.0,0.0,18.0,145.0,0.0,7.0,89.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,2.0,39.0,3.0,0.0,11.0,23.0,0.0,19.0,0.0,0.0,8.0,3.0,19.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,111.0,47.0,0.0,87.0,27.0,0.0,566.0,2.0,291.0,128.0,0.0,173.0,9.0,3.0,0.0,1.0,0.0,0.0,74.0,0.0,784.0,22.0,0.0,302.0,20.0,1.0,293.0,124.0,2.0,15.0,45.0,67159.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,9.0,583.0,70.0,4.0,15.0,267.0,12.0,12.0,40.0,14.0,0.0,0.0,5.0,0.0,0.0
191196,0.0,39.0,0.0,71.0,2619.0,237.0,6.0,160.0,0.0,36.0,0.0,0.0,6.0,0.0,0.0,0.0,42.0,10.0,0.0,3.0,0.0,0.0,5197.0,4.0,442.0,0.0,5.0,45.0,5.0,0.0,488.0,0.0,4.0,34.0,0.0,12.0,0.0,0.0,4098.0,0.0,1.0,18.0,161.0,1.0,4.0,0.0,0.0,289.0,0.0,0.0,9.0,0.0,13.0,0.0,30.0,0.0,0.0,0.0,0.0,186.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,2.0,223.0,0.0,2.0,123.0,0.0,52.0,4.0,0.0,4.0,16.0,0.0,0.0,356.0,0.0,0.0,45.0,1.0,8.0,5.0,0.0,0.0,2668.0,7.0,0.0,36.0,0.0,1.0,64.0,1.0,2140.0,0.0,201.0,21.0,4.0,0.0,6763.0,0.0,1366.0,0.0,2.0,174.0,0.0,166.0,30.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,299.0,21.0,809.0,63.0,187.0,0.0,36.0,13.0
193374,0.0,99.0,0.0,11.0,122.0,57.0,11.0,28784.0,0.0,121.0,0.0,114.0,0.0,17.0,0.0,0.0,1.0,17.0,0.0,326.0,17.0,0.0,686.0,309.0,2536.0,7.0,435.0,881.0,94.0,837.0,2133.0,239.0,299.0,111.0,28.0,2129.0,0.0,62.0,44.0,22.0,3.0,248.0,302.0,0.0,2520.0,31.0,17.0,440.0,0.0,14.0,2169.0,0.0,4.0,531.0,2.0,0.0,1.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,188.0,0.0,53.0,22.0,17.0,39.0,2.0,4.0,45.0,0.0,0.0,4.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,82.0,280.0,0.0,309.0,1.0,0.0,362.0,0.0,5.0,252.0,1.0,3796.0,915.0,130.0,8.0,1.0,26.0,0.0,208.0,24.0,225.0,1.0,0.0,22.0,38.0,0.0,2912.0,493.0,11.0,19.0,39.0,641.0,0.0,29.0,0.0,9.0,3.0,0.0,15.0,0.0,4.0,3.0,1.0,0.0,90.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
193381,0.0,12.0,12.0,1.0,4.0,4.0,4.0,163.0,10.0,403.0,0.0,57.0,26.0,4.0,8.0,61.0,25.0,0.0,0.0,18.0,7.0,1.0,3152.0,33.0,2364.0,9.0,297.0,345.0,2.0,39.0,271.0,2.0,223.0,330.0,68.0,307.0,0.0,52.0,4.0,27.0,1.0,5.0,356.0,86.0,450.0,20.0,253.0,317.0,0.0,16.0,238.0,21.0,26.0,128.0,3.0,1.0,0.0,7.0,0.0,69.0,0.0,3.0,124.0,0.0,2.0,127.0,0.0,15.0,17.0,7.0,39.0,1.0,5.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,14.0,145.0,0.0,2.0,112.0,59.0,0.0,81.0,6.0,0.0,254.0,0.0,25.0,95.0,0.0,379.0,214.0,4.0,0.0,2.0,16.0,2.0,211.0,0.0,362.0,1.0,0.0,0.0,16.0,0.0,328.0,237.0,0.0,10.0,14.0,7006.0,0.0,37.0,1.0,4.0,3.0,0.0,0.0,30.0,28.0,25.0,3.0,1.0,181.0,20.0,20.0,14.0,3.0,0.0,0.0,125.0,3.0,0.0
193385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,90.0,0.0,0.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,154.0,0.0,22.0,19.0,0.0,0.0,3.0,0.0,2.0,31.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,10.0,0.0,5756.0,0.0,0.0,0.0,24.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,15.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193386,0.0,1981.0,129.0,1172.0,1258.0,946.0,18.0,10653.0,94.0,250304.0,0.0,3375.0,1133.0,1673.0,6.0,106.0,693.0,8639.0,15.0,13089.0,5248.0,110.0,1633.0,4032.0,214525.0,0.0,4685.0,14558.0,9271.0,1510.0,77813.0,2690.0,39877.0,195.0,783.0,11895.0,3.0,3692.0,6820.0,2129.0,58.0,1606.0,7836.0,0.0,27380.0,3006.0,326.0,263.0,0.0,1637.0,24109.0,4351.0,11.0,3667.0,2.0,0.0,0.0,325.0,0.0,36.0,1.0,6.0,0.0,1.0,48.0,6289.0,6.0,325.0,266.0,83.0,106.0,0.0,12.0,21.0,0.0,0.0,0.0,0.0,22.0,0.0,171.0,0.0,0.0,0.0,399.0,219.0,8.0,2097.0,175.0,0.0,296.0,69.0,6.0,347.0,0.0,6074.0,338.0,151.0,11.0,114.0,18.0,0.0,324.0,54.0,630.0,51.0,0.0,885.0,7.0,6.0,5654.0,2865.0,0.0,758.0,8.0,874.0,0.0,6.0,0.0,1.0,11.0,18.0,0.0,25.0,6.0,8.0,7.0,0.0,130.0,1.0,167.0,72.0,97.0,170.0,103.0,0.0,72.0,0.0
193387,0.0,39.0,41.0,163.0,45.0,1285.0,11.0,851.0,1688.0,64.0,0.0,102.0,127.0,128.0,0.0,0.0,227.0,1942.0,0.0,5536.0,135.0,10.0,1080.0,335.0,46663.0,10.0,1230.0,568.0,12737.0,42.0,16757.0,56.0,5494.0,164.0,20.0,5241.0,22.0,521.0,2.0,31.0,22.0,36.0,1081.0,0.0,5692.0,123.0,8.0,92.0,0.0,49.0,6912.0,256.0,28.0,309.0,6.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,88.0,0.0,14.0,79.0,62.0,23.0,2.0,8.0,100.0,0.0,1.0,0.0,0.0,2.0,0.0,15.0,4.0,0.0,0.0,48.0,62.0,16.0,414.0,15.0,0.0,155.0,17.0,205.0,95.0,0.0,3106.0,110.0,93.0,0.0,2.0,6.0,3.0,74.0,3.0,194.0,30.0,0.0,10.0,41.0,0.0,3019.0,439.0,5.0,238.0,28.0,10238.0,0.0,9.0,0.0,39.0,1165.0,0.0,0.0,4.0,0.0,14.0,2.0,14.0,44.0,2.0,151.0,13.0,0.0,4.0,0.0,24.0,0.0,0.0
