u16_id_lr_mask,count,modality,modality_color,brain,n316_acronym,n70_acronym,n8_acronym,n316_acronym_lr,n70_acronym_lr,n8_acronym_lr
658,79,fMOST-Huang,yellow,190891,RSPd,RSP,CTX,RSPd_r,RSP_r,CTX_r
662,7,fMOST-Huang,yellow,190891,RSPd,RSP,CTX,RSPd_r,RSP_r,CTX_r
656,73,fMOST-Huang,yellow,190891,RSPd,RSP,CTX,RSPd_r,RSP_r,CTX_r
676,51,fMOST-Huang,yellow,190891,RSPv,RSP,CTX,RSPv_r,RSP_r,CTX_r
715,224,fMOST-Huang,yellow,190891,VISrl,PTLp,CTX,VISrl_l,PTLp_l,CTX_l
163,53,fMOST-Huang,yellow,190891,SSp-ul,SSp,CTX,SSp-ul_l,SSp_l,CTX_l
193,37,fMOST-Huang,yellow,190891,SSp-un,SSp,CTX,SSp-un_l,SSp_l,CTX_l
109,8,fMOST-Huang,yellow,190891,SSp-bfd,SSp,CTX,SSp-bfd_l,SSp_l,CTX_l
111,79,fMOST-Huang,yellow,190891,SSp-bfd,SSp,CTX,SSp-bfd_l,SSp_l,CTX_l
165,124,fMOST-Huang,yellow,190891,SSp-ul,SSp,CTX,SSp-ul_l,SSp_l,CTX_l
377,2,fMOST-Huang,yellow,190891,VISp,VIS,CTX,VISp_l,VIS_l,CTX_l
375,115,fMOST-Huang,yellow,190891,VISp,VIS,CTX,VISp_l,VIS_l,CTX_l
167,52,fMOST-Huang,yellow,190891,SSp-ul,SSp,CTX,SSp-ul_l,SSp_l,CTX_l
717,38,fMOST-Huang,yellow,190891,VISrl,PTLp,CTX,VISrl_l,PTLp_l,CTX_l
381,67,fMOST-Huang,yellow,190891,VISp,VIS,CTX,VISp_l,VIS_l,CTX_l
379,40,fMOST-Huang,yellow,190891,VISp,VIS,CTX,VISp_l,VIS_l,CTX_l
53,70,fMOST-Huang,yellow,190891,MOs,MO,CTX,MOs_l,MO_l,CTX_l
55,516,fMOST-Huang,yellow,190891,MOs,MO,CTX,MOs_l,MO_l,CTX_l
603,10,fMOST-Huang,yellow,190891,RSPagl,RSP,CTX,RSPagl_l,RSP_l,CTX_l
657,66,fMOST-Huang,yellow,190891,RSPd,RSP,CTX,RSPd_l,RSP_l,CTX_l
661,51,fMOST-Huang,yellow,190891,RSPd,RSP,CTX,RSPd_l,RSP_l,CTX_l
180,4,fMOST-Huang,yellow,190891,SSp-tr,SSp,CTX,SSp-tr_r,SSp_r,CTX_r
182,4,fMOST-Huang,yellow,190891,SSp-tr,SSp,CTX,SSp-tr_r,SSp_r,CTX_r
382,15,fMOST-Huang,yellow,190891,VISp,VIS,CTX,VISp_r,VIS_r,CTX_r
42,50,fMOST-Huang,yellow,190891,MOp,MO,CTX,MOp_r,MO_r,CTX_r
138,17,fMOST-Huang,yellow,190891,SSp-ll,SSp,CTX,SSp-ll_r,SSp_r,CTX_r
46,164,fMOST-Huang,yellow,190891,MOp,MO,CTX,MOp_r,MO_r,CTX_r
673,67,fMOST-Huang,yellow,190891,RSPv,RSP,CTX,RSPv_l,RSP_l,CTX_l
675,79,fMOST-Huang,yellow,190891,RSPv,RSP,CTX,RSPv_l,RSP_l,CTX_l
655,19,fMOST-Huang,yellow,190891,RSPd,RSP,CTX,RSPd_l,RSP_l,CTX_l
669,276,fMOST-Huang,yellow,190891,RSPv,RSP,CTX,RSPv_l,RSP_l,CTX_l
700,4,fMOST-Huang,yellow,190891,VISa,PTLp,CTX,VISa_r,PTLp_r,CTX_r
136,2,fMOST-Huang,yellow,190891,SSp-ll,SSp,CTX,SSp-ll_r,SSp_r,CTX_r
