brain,RSP_l,RSP_r,PTLp_r,PTLp_l,VIS_r,VIS_l,MBsen_r,MBsen_l,SSp_l,SSp_r,ACA_r,ACA_l,MO_r,MO_l,AUD_r,AUD_l,VERM_l,VERM_r,PRT_r,PRT_l,EPI_l,EPI_r,HIP_r,HIP_l,SS_r,SS_l,RHP_r,RHP_l,CA_l,CA_r,MBmot_r,MBmot_l,LAT_r,LAT_l,GENd_l,GENd_r,HEM_l,HEM_r,ATN_l,ATN_r,PALm_r,ORB_r,ORB_l,PALm_l,LSX_r,LSX_l,Isocortex_r,Isocortex_l,CBN_r,CBN_l,GENv_r,GENv_l,ILM_l,ILM_r,LS_r,LS_l,MED_r,MED_l,STRd_l,STRd_r,VP_l,VP_r,DORsm_r,DORsm_l,DORpm_l,DORpm_r,MBsta_l,MBsta_r,SPF_l,SPF_r,MTN_r,MTN_l,ENT_l,ENT_r,VENT_l,VENT_r,AI_l,AI_r,VNC_l,VNC_r,RAmb_r,RAmb_l,PALd_r,PALd_l,OLF_l,OLF_r,DCN_l,DCN_r,PHY_l,PHY_r,P-sat_r,P-sat_l,PALc_l,PALc_r,P-sen_l,P-sen_r,CN_r,CN_l,EP_l,EP_r,P-mot_r,P-mot_l,LZ_l,LZ_r,MY-sen_r,MY-sen_l,CTXsp_r,CTXsp_l,MSC_r,MSC_l,HY_l,HY_r,MBO_r,MBO_l,sAMY_l,sAMY_r,MEZ_r,MEZ_l,MY-mot_r,MY-mot_l,PVR_r,PVR_l,MDRN_l,MDRN_r,PALv_l,PALv_r,STRv_l,STRv_r,PVZ_r,PVZ_l,PGRN_r,PGRN_l,TM_r,TM_l,MY-sat_r,MY-sat_l,COA_l,COA_r
15257,36863.0,54861.0,8662.0,10874.0,53414.0,58821.0,140273.0,177899.0,92357.0,66097.0,37990.0,114916.0,69391.0,70271.0,12137.0,14685.0,136823.0,112116.0,10587.0,15834.0,1893.0,2070.0,8854.0,9308.0,24725.0,31444.0,43475.0,22540.0,16544.0,23708.0,177949.0,167235.0,9875.0,9554.0,3980.0,3580.0,129509.0,96516.0,4934.0,2667.0,277229.0,16386.0,22297.0,232194.0,205458.0,174315.0,30211.0,27325.0,11933.0,14878.0,5572.0,5280.0,8315.0,6023.0,661456.0,657522.0,5985.0,9195.0,564834.0,610704.0,9487.0,6074.0,15242.0,19333.0,3028.0,2039.0,1359.0,1185.0,6909.0,5076.0,17921.0,20382.0,7823.0,11126.0,3697.0,2577.0,14889.0,8859.0,102971.0,78168.0,19959.0,24556.0,29689.0,42265.0,383664.0,340765.0,16534.0,11386.0,90231.0,58677.0,10386.0,12517.0,70761.0,52276.0,166953.0,142131.0,702.0,2375.0,11768.0,18078.0,80570.0,92295.0,887971.0,727475.0,477894.0,377509.0,254611.0,246761.0,231079.0,169335.0,4583.0,4278.0,34119.0,26182.0,534826.0,433054.0,291436.0,235554.0,732852.0,778489.0,426076.0,317979.0,50001.0,56621.0,343172.0,218910.0,818586.0,415184.0,451512.0,393509.0,12668.0,21605.0,642.0,592.0,2833.0,438.0,11686.0,9385.0
17051,77.0,254.0,49.0,1.0,38.0,12.0,246.0,459.0,6101.0,1593.0,318.0,256.0,954.0,2368.0,96.0,91.0,1919.0,762.0,0.0,11.0,76.0,0.0,179.0,2.0,845.0,555.0,30.0,5.0,56.0,213.0,464.0,78.0,70.0,20.0,2.0,8.0,1162.0,328.0,0.0,54.0,64.0,439.0,548.0,139.0,0.0,16.0,2084.0,537.0,8.0,0.0,398.0,73.0,24.0,0.0,36.0,179.0,233.0,55.0,321.0,659.0,240.0,3026.0,463.0,153.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,1.0,266.0,16.0,373.0,515.0,447.0,0.0,35.0,0.0,57.0,27.0,45.0,2776.0,2000.0,0.0,0.0,0.0,26.0,81.0,0.0,6.0,25.0,34.0,17.0,0.0,0.0,290.0,33.0,41.0,2.0,194.0,146.0,14.0,46.0,276.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,287.0,0.0,0.0,52.0,35.0,0.0,66.0,0.0,0.0,4548.0,4996.0,51855.0,87575.0,57.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,81.0
17052,656.0,85.0,197.0,217.0,224.0,873.0,41319.0,64296.0,4317.0,1984.0,294.0,36.0,49652.0,4556.0,687.0,324.0,2789802.0,2859511.0,0.0,0.0,0.0,0.0,17.0,1.0,470.0,786.0,1.0,0.0,1713.0,1.0,1279.0,930.0,39.0,189.0,0.0,0.0,2665872.0,3191779.0,0.0,0.0,0.0,1007.0,8521.0,0.0,0.0,0.0,18035.0,4450.0,95361.0,70633.0,129.0,152.0,0.0,16.0,0.0,0.0,2.0,51.0,0.0,0.0,198.0,588.0,46.0,108.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,2104.0,4.0,0.0,243.0,251.0,0.0,10064.0,18677.0,0.0,0.0,413.0,288.0,34388.0,114670.0,3058.0,6667.0,0.0,0.0,338.0,433.0,0.0,0.0,13049.0,10816.0,3099.0,1673.0,2397.0,0.0,861.0,311.0,62.0,22.0,3030.0,2911.0,0.0,648.0,0.0,0.0,199.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,19869.0,14760.0,0.0,0.0,0.0,0.0,150.0,21.0,544.0,109.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
17109,278693.0,184572.0,56855.0,56509.0,350568.0,373967.0,313973.0,316289.0,481261.0,532240.0,147833.0,126592.0,448133.0,533330.0,181077.0,188246.0,665841.0,688333.0,42921.0,28506.0,8616.0,8279.0,112061.0,115862.0,298733.0,214175.0,107386.0,137524.0,233327.0,209849.0,316715.0,339637.0,66924.0,37533.0,22560.0,33453.0,716472.0,707640.0,16062.0,15583.0,18726.0,84978.0,102148.0,22033.0,13782.0,13992.0,462746.0,286582.0,28048.0,33834.0,26023.0,17468.0,25702.0,27696.0,35045.0,19201.0,46515.0,46898.0,35332.0,34975.0,39284.0,62190.0,16223.0,12862.0,2803.0,6380.0,2361.0,3194.0,5461.0,6124.0,9688.0,9870.0,166572.0,177139.0,15090.0,15210.0,302646.0,474365.0,50156.0,57345.0,16979.0,23853.0,16947.0,19825.0,587425.0,598579.0,20257.0,16949.0,15368.0,17942.0,47411.0,58416.0,12921.0,9189.0,174494.0,140017.0,8592.0,7230.0,83969.0,69299.0,125387.0,138134.0,78966.0,83587.0,187199.0,247030.0,107550.0,120752.0,4166.0,5498.0,5348.0,5408.0,19100.0,21496.0,50156.0,45570.0,21980.0,30700.0,261906.0,306370.0,21061.0,30766.0,40427.0,37107.0,45486.0,49515.0,425610.0,329331.0,35802.0,42358.0,2277.0,4045.0,731.0,157.0,4699.0,3549.0,77427.0,57594.0
17298,171979.0,225294.0,93177.0,94014.0,391068.0,424347.0,486048.0,493939.0,1199449.0,1942819.0,333796.0,289769.0,1798339.0,1608701.0,610301.0,697793.0,513660.0,568202.0,64118.0,60377.0,12177.0,8649.0,112917.0,118227.0,1805904.0,1387792.0,113320.0,119325.0,436178.0,386581.0,501224.0,517821.0,76697.0,91027.0,40728.0,41835.0,313893.0,349396.0,37389.0,29463.0,40363.0,490592.0,475729.0,18867.0,19645.0,19805.0,1485637.0,1165313.0,60805.0,62531.0,33453.0,33656.0,39993.0,35271.0,51108.0,34095.0,65405.0,68215.0,60920.0,79135.0,113055.0,118924.0,24326.0,22271.0,8216.0,6483.0,5597.0,6927.0,8206.0,11650.0,25148.0,20695.0,60192.0,91144.0,41430.0,39498.0,1710257.0,2131144.0,82591.0,54400.0,48669.0,48704.0,32151.0,27708.0,1325231.0,1512562.0,7279.0,8686.0,15263.0,21479.0,90686.0,102708.0,21104.0,24382.0,189055.0,187988.0,5797.0,2676.0,470492.0,618439.0,189443.0,236566.0,122613.0,148241.0,159727.0,171520.0,275395.0,204735.0,7357.0,6535.0,3527.0,4881.0,13064.0,14212.0,153075.0,175068.0,45050.0,36428.0,349385.0,324925.0,42440.0,31479.0,31355.0,38958.0,78850.0,97206.0,827055.0,1066930.0,66754.0,49074.0,6296.0,10347.0,12.0,23.0,3681.0,3081.0,35245.0,46602.0
17300,326970.0,392811.0,87855.0,167666.0,413447.0,307728.0,483000.0,519640.0,1620702.0,1818092.0,231797.0,156480.0,550397.0,502943.0,281154.0,146194.0,437478.0,424233.0,56876.0,50622.0,19577.0,30386.0,265336.0,215740.0,904731.0,526446.0,257219.0,200453.0,273963.0,347928.0,666262.0,658580.0,107921.0,68488.0,44334.0,42113.0,312112.0,464890.0,29815.0,17321.0,47522.0,167333.0,165533.0,40889.0,15832.0,12688.0,783753.0,390107.0,34731.0,40730.0,35611.0,32938.0,39251.0,48055.0,37092.0,26852.0,62617.0,82963.0,144205.0,148225.0,65221.0,100790.0,30709.0,20428.0,7418.0,5038.0,9224.0,7942.0,6498.0,8328.0,21482.0,20575.0,116883.0,210157.0,30316.0,30660.0,220287.0,450333.0,52648.0,48532.0,41455.0,53776.0,56203.0,58248.0,2623270.0,3032125.0,16458.0,18639.0,6604.0,6671.0,88013.0,71209.0,23459.0,27843.0,158705.0,157544.0,10745.0,13352.0,195517.0,355167.0,103309.0,129740.0,105734.0,129523.0,87423.0,79824.0,263850.0,192767.0,8708.0,7386.0,5419.0,6830.0,16338.0,16369.0,144288.0,188015.0,34998.0,41253.0,144589.0,141999.0,73649.0,74418.0,6963.0,5762.0,229710.0,146780.0,2740299.0,2480069.0,60816.0,58087.0,5005.0,8139.0,100.0,153.0,1137.0,2532.0,93847.0,114458.0
17301,380358.0,516413.0,150252.0,145960.0,1015246.0,766208.0,383484.0,283253.0,266573.0,107226.0,41076.0,32103.0,144359.0,97702.0,105805.0,76146.0,17860.0,45566.0,23102.0,31253.0,18873.0,23374.0,534373.0,531466.0,26245.0,27880.0,537226.0,416993.0,1721573.0,1726387.0,650692.0,626425.0,59711.0,24095.0,12359.0,8867.0,55129.0,15639.0,16218.0,15174.0,31526.0,20164.0,16081.0,20984.0,12600.0,15357.0,93252.0,109767.0,5438.0,1409.0,18970.0,18427.0,17829.0,17141.0,40311.0,48024.0,22759.0,16391.0,41623.0,53415.0,28643.0,24283.0,12183.0,11010.0,935.0,1801.0,2145.0,2664.0,1958.0,1731.0,15680.0,10771.0,240528.0,146446.0,19659.0,17488.0,14918.0,25875.0,2824.0,6235.0,71952.0,84464.0,24873.0,14843.0,180771.0,218708.0,630.0,490.0,600.0,3172.0,403787.0,471672.0,6815.0,7693.0,140551.0,112116.0,1696.0,1404.0,19192.0,26679.0,39656.0,93556.0,102975.0,125124.0,47093.0,29661.0,98009.0,71812.0,11958.0,13705.0,324.0,280.0,8266.0,2710.0,35189.0,41705.0,23087.0,13533.0,40474.0,15717.0,14742.0,9063.0,1398.0,3452.0,42822.0,70913.0,125708.0,185573.0,52816.0,27543.0,2124.0,847.0,31.0,4.0,41485.0,31063.0,6450.0,6912.0
17302,8656.0,12152.0,73.0,4624.0,14030.0,13799.0,5514.0,7109.0,37726.0,48826.0,473.0,819.0,3757.0,2064.0,13492.0,10196.0,2249.0,737.0,147.0,46.0,1023.0,2.0,84753.0,150361.0,15030.0,15951.0,41058.0,58670.0,460741.0,140543.0,29724.0,21126.0,1158.0,6773.0,10976.0,11359.0,5042.0,1732.0,619.0,885.0,3247.0,7105.0,5002.0,8062.0,148.0,11.0,50127.0,18285.0,0.0,0.0,4999.0,8535.0,1216.0,211.0,99.0,89.0,159.0,3187.0,28094.0,43924.0,21249.0,14944.0,1024.0,2239.0,94.0,2457.0,66.0,0.0,8.0,405.0,0.0,641.0,13557.0,6111.0,0.0,4390.0,6431.0,29309.0,1.0,30.0,0.0,1.0,29795.0,18665.0,157917.0,359801.0,1.0,0.0,0.0,0.0,0.0,0.0,542.0,619.0,137.0,1.0,0.0,0.0,12057.0,31262.0,6.0,506.0,100.0,1527.0,177.0,153.0,22713.0,26234.0,0.0,0.0,0.0,0.0,17.0,8.0,8459.0,13114.0,0.0,3.0,828.0,349.0,12.0,4.0,0.0,0.0,839819.0,823246.0,7457736.0,5405133.0,14.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,4439.0,4468.0
17304,147.0,5642.0,11509.0,12885.0,33952.0,43562.0,49.0,6.0,129849.0,118723.0,1074.0,1178.0,73200.0,41277.0,5432.0,8082.0,188.0,10017.0,0.0,0.0,0.0,0.0,527.0,1198.0,10076.0,11751.0,398.0,655.0,2249.0,4241.0,9.0,3.0,1.0,0.0,0.0,0.0,470.0,1759.0,1.0,0.0,381.0,22467.0,78185.0,300.0,0.0,15.0,6522.0,3537.0,271.0,12.0,0.0,0.0,0.0,0.0,186.0,71.0,0.0,0.0,3868.0,6752.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1952.0,2937.0,0.0,0.0,918.0,361.0,0.0,207.0,1.0,0.0,136.0,32.0,1789931.0,1137824.0,3456.0,128.0,0.0,3.0,88.0,3.0,214.0,138.0,194.0,1067.0,1789.0,1147.0,167.0,543.0,30.0,7.0,82.0,128.0,2265.0,9297.0,1194.0,552.0,0.0,1.0,0.0,0.0,0.0,0.0,138.0,617.0,0.0,0.0,610.0,502.0,221.0,128.0,1.0,0.0,258.0,936.0,2318.0,4623.0,125.0,103.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
17539,1333819.0,1357187.0,452583.0,296967.0,2146386.0,2376335.0,1587600.0,1515734.0,7087562.0,10256052.0,816344.0,730730.0,4500211.0,3292244.0,930231.0,400474.0,2057171.0,2029451.0,181054.0,154374.0,48874.0,80321.0,605047.0,503936.0,2973690.0,1458869.0,755741.0,858449.0,1132898.0,1255608.0,1977053.0,1430893.0,137288.0,166462.0,67878.0,93335.0,1947751.0,2337348.0,103895.0,104061.0,111372.0,519734.0,538335.0,93836.0,70641.0,52259.0,2229904.0,1714102.0,124364.0,102755.0,121131.0,91162.0,94692.0,69149.0,132025.0,80524.0,175757.0,163819.0,314097.0,484925.0,227348.0,174011.0,70744.0,63305.0,19952.0,18347.0,47569.0,42965.0,15556.0,17239.0,74643.0,82020.0,623711.0,668457.0,72974.0,47820.0,1691195.0,2925144.0,215635.0,257977.0,115589.0,101981.0,425981.0,194552.0,9638677.0,15503581.0,136647.0,137133.0,87408.0,56701.0,209898.0,210928.0,103331.0,90765.0,568725.0,502142.0,46021.0,50269.0,1319105.0,1726871.0,416299.0,434030.0,442651.0,419067.0,710982.0,793595.0,828067.0,612723.0,32921.0,24551.0,16066.0,16473.0,49778.0,53356.0,423871.0,708631.0,129044.0,112173.0,882372.0,1296122.0,124509.0,175027.0,124233.0,134094.0,420208.0,1049442.0,7818201.0,16327187.0,153374.0,170245.0,18709.0,28486.0,1320.0,1484.0,12722.0,13050.0,255846.0,522088.0
