,n1327_u32_id,n671_u32_id,n316_u32_id,n4_u32_id
0,997,0,0,0
1,8,0,0,0
2,567,0,0,0
3,688,0,0,688
4,695,0,0,688
5,315,0,0,688
6,184,0,184,688
7,68,68,184,688
8,667,667,184,688
9,526157192,526157192,184,688
10,526157196,526157196,184,688
11,526322264,526322264,184,688
12,500,0,0,688
13,107,0,0,688
14,219,0,0,688
15,299,0,0,688
16,644,0,0,688
17,947,0,0,688
18,985,0,985,688
19,320,320,985,688
20,943,943,985,688
21,648,648,985,688
22,844,844,985,688
23,882,882,985,688
24,993,0,993,688
25,656,656,993,688
26,962,962,993,688
27,767,767,993,688
28,1021,1021,993,688
29,1085,1085,993,688
30,453,0,0,688
31,12993,0,0,688
32,12994,0,0,688
33,12995,0,0,688
34,12996,0,0,688
35,12997,0,0,688
36,12998,0,0,688
37,322,0,0,688
38,793,0,0,688
39,346,0,0,688
40,865,0,0,688
41,921,0,0,688
42,686,0,0,688
43,719,0,0,688
44,353,0,353,688
45,558,558,353,688
46,838,838,353,688
47,654,654,353,688
48,702,702,353,688
49,889,889,353,688
50,929,929,353,688
51,329,0,329,688
52,981,981,329,688
53,201,201,329,688
54,1047,1047,329,688
55,1070,1070,329,688
56,1038,1038,329,688
57,1062,1062,329,688
58,480149202,0,329,688
59,480149206,0,329,688
60,480149210,0,329,688
61,480149214,0,329,688
62,480149218,0,329,688
63,480149222,0,329,688
64,480149226,0,329,688
65,337,0,337,688
66,1030,1030,337,688
67,113,113,337,688
68,1094,1094,337,688
69,1128,1128,337,688
70,478,478,337,688
71,510,510,337,688
72,345,0,345,688
73,878,878,345,688
74,657,657,345,688
75,950,950,345,688
76,974,974,345,688
77,1102,1102,345,688
78,2,2,345,688
79,369,0,369,688
80,450,450,369,688
81,854,854,369,688
82,577,577,369,688
83,625,625,369,688
84,945,945,369,688
85,1026,1026,369,688
86,361,0,361,688
87,1006,1006,361,688
88,670,670,361,688
89,1086,1086,361,688
90,1111,1111,361,688
91,9,9,361,688
92,461,461,361,688
93,182305689,0,182305689,688
94,182305693,182305693,182305689,688
95,182305697,182305697,182305689,688
96,182305701,182305701,182305689,688
97,182305705,182305705,182305689,688
98,182305709,182305709,182305689,688
99,182305713,182305713,182305689,688
100,378,0,378,688
101,873,873,378,688
102,806,806,378,688
103,1035,1035,378,688
104,1090,1090,378,688
105,862,862,378,688
106,893,893,378,688
107,1057,0,1057,688
108,36,36,1057,688
109,180,180,1057,688
110,148,148,1057,688
111,187,187,1057,688
112,638,638,1057,688
113,662,662,1057,688
114,677,0,677,688
115,897,897,677,688
116,1106,1106,677,688
117,1010,1010,677,688
118,1058,1058,677,688
119,857,857,677,688
120,849,849,677,688
121,247,0,0,688
122,1011,0,1011,688
123,527,527,1011,688
124,600,600,1011,688
125,678,678,1011,688
126,252,252,1011,688
127,156,156,1011,688
128,243,243,1011,688
129,480149230,0,1011,688
130,480149234,0,1011,688
131,480149238,0,1011,688
132,480149242,0,1011,688
133,480149246,0,1011,688
134,480149250,0,1011,688
135,480149254,0,1011,688
136,1002,0,1002,688
137,735,735,1002,688
138,251,251,1002,688
139,816,816,1002,688
140,847,847,1002,688
141,954,954,1002,688
142,1005,1005,1002,688
143,1027,0,1027,688
144,696,696,1027,688
145,643,643,1027,688
146,759,759,1027,688
147,791,791,1027,688
148,249,249,1027,688
149,456,456,1027,688
150,1018,0,1018,688
151,959,959,1018,688
152,755,755,1018,688
153,990,990,1018,688
154,1023,1023,1018,688
155,520,520,1018,688
156,598,598,1018,688
157,669,0,0,688
158,801,0,0,688
159,561,0,0,688
160,913,0,0,688
161,937,0,0,688
162,457,0,0,688
163,497,0,0,688
164,402,0,402,688
165,1074,1074,402,688
166,905,905,402,688
167,1114,1114,402,688
168,233,233,402,688
169,601,601,402,688
170,649,649,402,688
171,394,0,394,688
172,281,281,394,688
173,1066,1066,394,688
174,401,401,394,688
175,433,433,394,688
