region,count
2392,20851
2398,6273
474,1421
476,664
2488,1359
1156,1322
1152,1881
0,2583468
1228,484
1148,1812
2588,6236
1176,1614
1218,61
984,12980
1144,20151
1236,3814
1143,32663
1235,48387
1178,5364
983,2170
470,2445
468,2537
1238,115
1177,39668
1179,6305
1155,93995
1237,11579
1227,74828
1183,398
2385,785
2391,6558
759,2101
471,5048
2591,443
1180,979
56,976
460,92
2592,114
1707,105458
1653,424632
1613,837704
1677,139598
1647,64621
2461,27975
2563,184
2319,115713
1649,38
1667,77904
1663,95013
1665,11292
1669,17865
1303,39839
1341,8146
1689,190278
1283,718651
1,222903
909,18768
949,493804
1139,15387
935,1505101
2203,253313
1678,15627
2232,33
2231,131
1681,7013
1712,643
1713,5307
1714,6057
1684,2883
1711,898
1614,22916
1683,3338
2457,71
1760,913
1759,769
2458,40
1668,2242
1619,565
1739,1145
1740,367
2464,334
2463,156
2460,473
2562,2656
1536,1508
1532,343
1540,3153
2558,51
1539,577
1542,522
1541,5558
1745,168
1744,16
1620,5643
1670,5441
1622,8761
1624,2822
672,4337
668,10306
1708,4904
1654,9417
1682,3149
1664,517
2405,44624
2491,192989
1645,77160
367,132
1137,8027
1129,1143
365,930
335,12
337,221
2602,5
2561,4355
2242,34
1534,283
2564,5
1533,6271
1527,9061
1431,5504847
1733,23028
1727,2571
2239,1184
1623,341
1621,370
951,47604
1071,4767
1405,7508
1321,5974
2241,18
667,8614
671,8917
673,12003
953,233085
1725,4
2229,1082
1432,345240
1528,659
2,20048
2406,149
1666,8
1598,3163
2506,781
1590,464
1480,52004
1302,6437
1292,207828
1284,156445
1400,1033
1298,5
1290,17007
1340,743
1372,23994
1404,8
1604,147
1576,8753
1428,302
1680,896
1606,89125
2510,1656
2492,333
916,27
2394,149
2400,2312
674,5447
678,26
676,652
915,90215
2399,13490
1201,12208
1380,244029
1390,673535
1308,13082
1389,1656004
1396,33577
1398,30001
1397,84594
1312,3854
2509,12581
2487,39746
1466,115598
1586,45405
1382,61467
1391,352256
1386,80294
1679,959
2599,179569
2600,97502
1425,24158
1426,186
1641,47
1385,108659
1392,305978
1395,21683
1337,472362
1299,238627
1339,174248
1589,4225402
1217,144996
1593,16846
2403,58998
1595,216965
1601,81292
2443,93513
1605,3283293
1223,6262
1291,2247042
1603,820673
2235,61373
2531,19023
1289,461181
1295,39433
345,4
1329,11047
2433,895
115,3
113,457
855,13843
1135,6
1197,873
1195,11
2521,80
1221,15997
1465,161849
1479,570793
1585,521019
1381,1068096
2559,544887
677,6052
663,2597
675,40279
661,14646
1379,666225
1301,59923
1399,24479
1371,205288
1403,30440
1427,54560
1401,110567
1089,3967
2393,12989
1575,1638601
1467,7854
1468,104
1307,18979
1415,9291
1327,876
1345,59951
2505,332908
1597,390767
1297,73939
353,401
605,1757
603,2199
351,7
601,3415
599,726
355,193
1642,204
659,860
2573,9791
1565,813624
2571,226073
1515,1071536
1566,144170
1599,152721
1365,714639
1296,13
1300,21364
1407,359220
2425,7110
1516,48499
2495,727641
1331,2445
1189,34
2560,19895
719,48
705,374
703,158
717,8
925,21575
2575,1976
2204,3820
2236,239
1346,97
1338,32
1366,232
1591,136606
1151,60670
2223,3525
1147,18109
1182,2688
1181,28585
1477,3335
1489,104363
2587,136725
2397,55995
475,1341
473,9132
1495,9968
1243,486675
1175,6284
499,6396
501,317
821,8703
497,9592
469,9913
485,6238
483,48229
799,2893
502,18714
760,19442
540,34770
822,22717
2386,148
554,7137
504,161
500,132955
472,1145
488,3672
486,488
494,34423
498,64769
480,8749
811,257
467,15662
493,21187
484,53
812,1320
54,179
52,94
2213,33
51,618
762,14105
776,4
548,153444
2379,905
1187,2241
851,7
1229,6523
2519,7011
1435,1377
171,77
2233,17101
1505,5774
1501,18317
1503,162346
1387,199724
1357,283030
1355,117274
1363,38957
1351,201379
1359,200470
1509,3146
1553,170143
1441,611193
607,445
697,96
177,797
175,1015
1511,17074
143,3868
183,9564
185,606
695,2
1600,892
1436,366
1356,2912
1358,1631
1388,34203
1364,2352
1490,798
910,289
1370,3688
1369,12893
1502,6439
1506,763
1504,38792
1554,9215
1442,293976
1362,6775
1361,40111
1464,29627
2234,12690
141,54603
181,1160
1352,3798
1402,279
1244,140
1360,5243
2572,10768
1463,39167
2593,133954
981,62
982,21
1871,39814
2259,342
2017,9417
1883,16299
2029,6747
2377,2009
2199,26173
2605,5990
2197,804
2169,26215
2005,995
2007,13494
2011,22633
2279,6
2009,3252
2603,17578
2201,5861
1935,48142
1997,1599
1985,20474
1957,4049
1977,9525
2357,9601
2361,581
2604,1518
2041,7719
1970,716
2320,277
2024,278
1872,966
1952,1401
2023,14
2416,534
2026,144
2415,6051
2025,272
1969,4854
1951,1918
2125,8252
2195,1116
2085,215
2093,995
2135,85
1913,1321
2042,64
2594,3310
1408,10137
1438,29
1437,18523
950,15
847,241
1609,236987
1551,3020
403,79
349,110
1323,12364
2557,3828
1695,3096
1697,1028
1311,2840
1563,2939
1561,7061
1696,61
2244,131
2435,7889
1411,16
1767,69619
1825,19405
1743,44
1757,22
1863,148738
1749,175
1751,13
2459,11833
1111,565
899,1356
2387,283
1121,6
1651,33096
2359,44054
2285,8515
1319,616
1343,460
1313,25
877,4387
1709,254
1768,472
1746,1181
1754,8
1762,446
1761,382
1826,547
1752,211
1750,2
363,56
1107,551
1741,14
2281,23306
1633,5114
1637,11
377,272
1063,250
1055,397
1635,287
1685,441
1755,277
1753,47
1851,2923
1809,14511
1781,3151
2275,3459
1807,23752
1811,34501
2349,1904
2265,132
1983,67
1827,19510
1471,1723
1475,48611
1239,49191
1487,173
2485,2944
1478,426
461,6812
2525,11309
43,3968
41,128
135,68
133,54
2486,158
2224,61
2504,66
2494,54
459,634
2225,38
55,131
53,18
655,538
39,75
57,969
1240,6348
1153,431
99,5
197,97
800,1845
1184,4644
954,152
849,108
2532,43
550,503110
536,200404
538,671038
532,21516
535,125
537,113
552,308393
45,20240
59,34
47,452
2503,3736
2511,8441
2496,12870
1512,456
1510,859
1592,26
1493,302
1508,905
2512,4599
1507,224
179,59
139,1753
531,4
1821,2
1823,3946
1859,18741
1817,3
1869,59
1815,49
2051,5183
1895,285
2261,98
1841,233
1843,68
1835,553
1857,96
1639,48
1839,1085
1779,1169
1847,26
2355,35
1783,19
20,10
1699,5533
1693,2223
1309,69061
1499,1563
1549,286
1531,954
1535,2791
1701,2794
2243,165
2574,1775
1500,13
1550,392
1562,849
1310,425
411,189
409,342
1421,2343
1413,188
1700,30
1692,9
381,154
407,78
781,8
782,5166
455,309
457,1
1967,15
1925,171
1911,590
1893,11565
1961,2
1955,2201
2013,45
2363,392
1845,368
2255,20144
1735,19457
1837,17384
2245,112
479,20473
520,47
458,242
456,1023
2401,199
1717,230
1047,156
379,92
1771,46991
1631,5136
2253,1076
1705,11265
1627,6150
1629,3769
1719,197
1867,47
1937,26
1691,3
1564,36
487,16
1488,73
2493,18
1492,1
169,188
1956,1
2028,19
2126,515
1897,1
2027,1
1721,3486
1472,4
1277,2
463,459
936,744
375,180
1017,1850
1109,32
