region,count
0,47065350
762,654999
760,568735
2218,526395
782,422906
586,2315
562,817
520,36596
2220,2630
1156,4429752
2,87370
1218,25017
1238,28998
1592,72349
1590,35105
1228,585638
1144,82171
1432,70447
1408,2117
2404,1685
1244,13163
1290,1322
1188,17007
1230,20035
1222,6584
2234,38825
2204,47567
1506,312
1510,2226
2233,495
1505,2
1502,116
2600,17
1504,361
890,569
834,911736
1148,388163
1516,10199
1292,1974
856,6955
1136,2557
1112,5716
1198,400
1154,35137
1382,85
1284,377
2572,83
1436,7345
1490,40677
1512,2742
1358,362
2236,62150
1606,119
1554,2343
1388,9
1390,103
1152,542589
1120,76459
2224,28402
1496,11979
1180,3714
1178,586
2588,578
2388,3571
592,3946
2214,289812
568,1016
226,2
1116,3869
2392,13
570,66
2380,9
2386,960
590,10725
566,2862
812,243489
524,23038
522,28156
526,3216
588,10864
528,1184
800,8
822,199
2592,2
564,1639
224,2
46,2
44,4
1202,35939
1300,601
1296,119
1600,1106
1598,4284
2506,267
852,304
2522,1118
848,14015
850,12404
1224,615
2426,45
1380,303
2560,85
2486,9056
1476,12636
1472,256
2226,17026
1478,6703
1122,241
2599,4
1488,9
1494,5
1386,9
1492,230
594,13
550,87
1190,1613
2532,19
1604,42
1576,866
1566,4
1372,69
1438,2
1553,390
1431,85
1442,12
2504,2
552,27
538,4
540,22
554,15
502,8
500,216
2444,2
1356,4
1235,37
1236,202
2496,72
2526,77
