region,count
1338,9
1614,101
1404,1
1690,16
762,120
1668,2
950,20
1366,20
776,1
1706,15
1678,79
2030,13
2060,88
0,24138090
760,499
1677,44
781,5
1403,5
1613,2059
2051,64
2059,123
759,481
2213,153
1365,21
1401,4
2085,220
2377,25
1428,3
2576,4
822,8
2392,3
1696,6
1426,1
2052,134
2146,14
2154,22
2,7
2086,123
2136,42
1705,12
1689,54
1341,6
1669,104
1653,147
2109,1
209,56
207,12
1283,20
2599,4
2495,5
2601,17
2378,41
2571,4
761,196
1147,2131
2397,226
1337,21
2281,21
45,734
936,3
1048,1
155,7874
1345,1
1628,35
1425,2
1177,1
1175,1
2496,1
2135,97
211,8
1851,164
2561,1
1721,1
2573,14
1711,2
1296,7
2012,9
1340,28
1300,23
1290,24
1292,2
1736,22
2214,177
2350,9
1722,9
1654,74
1720,1
1824,18
1818,8
1860,14
1712,10
1407,17
1295,97
1289,28
1299,29
1781,22
2461,4
1297,23
2319,495
1605,33
1768,74
1782,37
1708,14
206,2
1291,160
1399,5
1859,41
1823,33
1817,8
1647,4
2178,5
2162,5
2360,14
1408,4
782,8
1772,34
2282,6
2200,3
2358,17
1298,7
2029,6
1115,7
1221,266
2403,1641
2425,6
2405,765
2359,2
2005,9
224,1
1652,8
2008,162
1735,11
2349,4
2011,2
1217,60
1431,188
2125,13
2117,17
1339,809
1309,7
1707,1
1815,2
1857,6
1767,391
2007,96
1986,16
1872,1259
1998,5
1956,342
2416,2
2462,60
1968,1
2415,475
1871,663
2418,4
2417,1
1188,3
1952,143
2460,205
1810,5
1812,53
2260,254
1978,162
1914,94
1936,1
2275,341
1895,143
1969,244
1951,86
1985,8
1975,7
1828,156
1156,22
1808,1
1965,8
1935,16
2023,13
2025,9
2027,20
2026,4
2459,106
1955,82
2028,19
1827,143
1957,70
1807,4
1977,21
1973,4
2259,14
2357,4
1913,23
1911,42
1958,1326
1976,860
1974,915
1910,75
1826,26
1912,386
1846,2
1780,291
2256,1
1909,6
1155,2
1825,1571
1837,407
2401,164
2024,13
2016,756
1992,29
1948,7
1779,2
1809,7
1811,2
1838,8
2015,4
2241,4
954,9
949,17
1663,10
2145,8
99,42
213,4
2153,6
1629,29
1627,2
1693,6
2229,21
1667,69
2398,46
95,12
779,1
2094,3
2602,5
157,116
2379,292
1632,10
470,1
1665,1
525,43
567,50
59,23
57,300
2385,80
1699,2
1631,33
55,206
19,32
21,69
553,1
487,1
153,165
151,435
41,787
47,81
2391,50
2487,10
671,1
1621,2
1071,13
1055,101
1,802
43,378
169,3040
167,248
1630,36
674,5
2509,1
97,16
1619,4
2093,1
659,8
655,8
698,8
700,5
136,6
134,2
40,1
702,2
352,2
380,1
42,8
135,2
2010,60
2014,181
1898,1091
2362,38
834,5
1842,12
1836,9
1840,17
1848,16
1784,51
1926,2
2186,2
1886,1
2272,7
1864,29
1890,279
1980,128
2314,29
1984,2
2320,5
1947,5
1889,4
1863,304
1515,1
1983,3
1993,1
1991,7
1771,9
1745,7
1741,22
1892,5
1960,1
1137,1
1111,3
2271,5
569,7
2387,5
225,13
227,3
2361,3
1303,22
2201,5
2195,2
1304,8
1322,1
2603,5
2217,6
1311,4
1686,4
1328,8
1346,1
524,1
2199,5
2169,9
2161,1
1701,15
2041,1
1371,4
2196,8
2246,2
2574,2
1764,4
1763,3
2042,1
2126,12
2604,29
1681,7
1683,10
52,6
54,4
91,3
147,9
149,68
165,1926
39,13
53,35
1622,26
161,447
163,14370
193,8
197,1
195,2
51,2
218,1
1382,2
1432,4
2118,1
1870,4
2262,4
1195,5
1841,1
1645,1984
1733,239
1727,105
2009,6
1893,2
1123,7
1119,4
833,3
2606,1
1244,1
1649,4
1749,1
1897,2
1861,2
1227,76
1197,12
1223,18
2203,393
1143,1
1606,1
1646,40
2006,3
1865,14
1852,20
1862,3
1747,9
1739,3
1748,3
1839,2
2235,7
1601,266
2266,3
1994,2
1744,14
