region,count
0,24963614
303,37
749,761
751,317
307,1628
309,1049
305,638
727,161
729,356
725,384
723,94
231,108
233,54
281,12
205,1651
737,46
993,3134
739,49
991,48
331,4
833,34954
2177,569601
2377,1300027
573,802
575,1734
577,742
759,207991
579,359
1119,3181
2389,234
915,4963
1111,4683
1121,9618
1011,408
2491,12942
2387,1510
1089,1885
1007,682
1001,587
1071,38557
1033,1880
1025,3444
2481,561
1123,9251
107,1708
91,716
419,34
415,38
417,41
429,159
207,762
333,25
249,1
291,33
335,15
363,75
361,1334
421,29
909,6230
2587,10923
225,138
223,37
1115,80
1147,5515
239,329
581,7
755,841
743,142
757,161
741,133
295,12
297,21
2433,3222
731,554
435,322
437,158
2393,179
439,41
433,105
431,487
111,315
109,1186
209,2075
93,641
95,1083
211,4709
2435,2112
241,3
213,85
311,296
313,33
733,103
935,68164
147,7
97,1806
99,346
113,177
2397,429
2379,104
255,1
283,7
149,22
1143,26709
1,302732
925,57
899,2515
1019,975
1029,5659
285,3
2399,16
151,15
834,20958
1122,1823
1200,2272
1136,7313
1112,1255
1132,3397
760,162163
1138,13132
1140,25062
866,27380
890,4191
900,3906
878,24086
1026,3568
110,238
112,84
114,483
116,124
2434,1783
718,53
716,22
338,152
340,22
336,243
424,19
422,69
368,233
366,345
2492,15036
2394,5920
370,75
364,229
384,174
382,3299
96,17
94,6
362,2142
360,326
392,52
394,1243
390,612
376,3249
374,272
388,76
916,9327
936,34505
950,12085
954,2438
1090,3124
952,702
1072,27899
1064,10740
1048,3447
1034,2943
1030,5923
1020,1761
1018,2281
2186,142564
2378,1551825
2178,1796428
2606,15717
2030,73596
2594,10357
1148,11128
1144,21928
1196,2061
1194,3121
1222,1316
1124,4088
562,667
566,1655
564,1150
588,164
568,543
590,207
592,64
1116,86
1120,3983
2588,5541
40,737
218,1142
220,2534
222,453
224,246
226,351
570,21
2388,889
228,63
2162,2480120
2404,5028
2436,3426
1218,17856
2496,5328
2136,2717836
2146,2784885
2154,1905157
2204,51237
156,37
42,3905
44,2988
148,10
150,44
152,26
154,49
926,225
100,61
1108,2499
586,39
2482,709
1128,5638
1198,17013
1130,2609
1872,11769
1886,11194
2,190522
212,2846
2380,272
2398,735
98,12
214,208
2400,75
910,2801
398,5
396,1392
2510,2617
714,14
334,494
712,53
710,10
332,112
378,4139
92,2
106,1683
108,3591
2093,1117265
2085,3629204
2094,1525615
2086,4134463
455,3851
51,280
53,5887
457,3040
1621,622341
1623,165246
1624,137993
1622,270434
1619,169013
1669,18714
1620,31016
1613,242764
1614,179373
1629,13879
655,12835
654,14138
673,40835
659,20989
671,44358
668,121437
667,103535
52,961
456,5487
2029,60866
984,182
469,2332
983,132
471,487
467,1013
479,1254
531,805
480,1878
483,136
468,2203
458,11714
470,4386
2602,15226
2601,9516
2059,1197828
2060,1100022
485,57
459,8673
2600,20243
1691,15319
2599,5293
1670,4170
1667,632
2231,33
1663,544
1668,815
1678,3896
1664,801
1665,440
1666,473
1677,2825
2391,56
1177,4506
1178,12836
1182,5869
1181,4441
2495,4681
1240,352
2214,302997
547,436
535,1185
549,367
532,1430
2101,492894
2109,347262
2102,628938
2110,387359
2169,1205186
2213,134831
1386,7818
1428,2528
1284,7593
1680,1171
1642,86
1679,187
1641,46
1685,4
1763,27
1764,57
1859,58
2603,556
2051,191309
2052,185240
2346,3157
2345,2250
2042,2424
2041,2145
2126,172508
2125,132286
537,566
551,2274
497,64
493,88
494,167
2243,68
2244,90
1695,329
1239,58
2117,205098
2118,208595
672,90750
1441,3606
1464,1933
1466,1774
1465,298
1442,2152
1565,173
1566,263
1585,1830
1431,30911
1432,33700
1561,56
1549,11
1951,572
1952,341
2459,161
2015,286
2016,193
1975,573
1871,5278
1767,4813
1837,232
1851,267
2319,1109
1838,134
1768,2775
2024,62
1827,577
2023,49
811,5512
1487,442
1491,292
1492,249
1488,1217
1477,33083
1478,18726
1501,1547
1502,2843
1515,7631
1541,249
1542,151
1531,2
1539,12
1745,445
1749,37
1751,210
1746,2151
1825,971
1227,17027
1155,23709
1237,55123
1238,48265
1235,1749
1489,9319
1236,4627
1179,972
1311,188
1711,10
1714,1
1681,7
1653,1261
1713,3
1759,16
1683,66
2241,20
1707,225
1761,38
1371,2621
1369,323
1398,288
1370,188
1397,382
1385,8026
1283,9923
1403,629
1312,276
1387,2711
1363,114
761,1531413
762,1021650
799,1365
800,2265
821,603
822,1981
1861,118
1818,61
1823,732
1817,24
1824,901
1821,80
1822,100
2561,29
1852,166
1719,1
1862,538
1865,91
1866,17
1931,42
1831,19
2604,836
1983,100
1994,221
1993,517
2593,10421
2203,40037
2223,2967
2224,3776
2485,1258
1739,1083
1748,748
1740,914
1741,2
1721,6
2505,2283
2503,106
1389,1028
1391,144
1395,304
1361,5
1355,210
1897,1028
1947,109
1898,2013
1875,110
1876,258
781,13428
782,21555
812,3221
1379,1048
1390,979
1396,176
1392,88
1381,187
1291,316
1301,295
1307,323
1586,1754
2464,27
1757,24
1760,6
2463,50
1744,1297
1649,50
1754,56
2461,373
1753,149
1747,116
2025,16
2415,62
2026,1
2233,15976
2234,9282
1505,641
2532,667
1599,1407
1467,581
1600,1710
1468,1425
1611,240
2275,14
1955,208
2487,730
472,4713
1696,720
2232,34
2028,12
1969,158
1956,29
2320,1429
2027,7
1553,1379
1509,1773
1503,37
1504,2566
1463,100
1506,2605
1826,48
2276,28
1217,30700
1576,3434
1499,31
1563,379
1709,1
1717,1
1715,3
2385,34
1684,2
499,3
1743,369
1755,85
1891,54
1892,12
