region,count
1912,2623
1974,9
1958,14145
1872,188318
1910,7
1976,940
1966,2492
1956,4815
2162,1654
2110,394
2170,7220
2378,10323
0,1772307
2169,30238
1965,67537
2461,60863
1871,282920
2357,56339
1909,3775
1977,166817
1973,18378
1911,87886
1957,125271
2161,12640
2118,398
2016,558
2416,412727
2026,19445
2460,13166
1890,7
2,196263
2093,8940
1975,356955
2109,419
2377,183476
1955,86492
2415,51692
1951,98914
2117,273
1889,3
1945,674
2015,3774
1991,2430
2459,40822
2025,18865
2027,682
2101,12
1898,6031
1978,16271
2010,676
2008,6945
1952,10082
1986,3231
1998,818
2604,7353
2086,11238
2094,1829
2153,18502
1970,1993
1994,111
1944,387
1936,2940
2462,34648
2358,423
2136,4546
2126,598
2198,97
1914,1932
1960,186
1883,7070
2361,18531
2013,1986
2009,10274
2259,35318
2197,41376
2135,11306
2145,10111
1913,37767
2363,8205
2085,39013
1985,12421
1969,5266
1983,322
2007,17062
1993,423
1897,9609
2059,136352
2154,2288
2023,3492
2028,401
2024,2189
2125,1146
2603,4660
2594,1480
2241,709
1959,826
1943,89
1935,33183
2177,7230
2178,2448
2146,4916
2260,907
2364,82
1884,1849
2605,5126
2593,9326
1,26701
1885,13346
2606,85
1147,128224
43,83260
833,13116
1155,8931
591,651
2387,850
1111,161
1119,924
1115,5002
1143,2564
759,21458
204,31207
206,22287
218,27703
232,10340
220,56635
562,26771
574,24825
1237,112
1238,6273
456,209702
458,105171
468,108556
470,67459
52,361310
54,304450
1478,8472
1477,3598
1178,991
1177,100
984,257
1235,1263
1236,908
217,5003
587,2042
585,1560
221,4242
219,4884
223,35028
156,5377
2398,289054
1148,2033180
2380,116787
158,1248
162,62426
164,67818
1120,15195
760,68717
1144,41801
834,14804
1156,17335
2218,1851
2392,89601
166,47136
154,33928
168,192276
170,59173
2487,3818
2397,7098
2591,731
2587,3468
1151,1629
57,3661
461,12694
463,55
473,278
1227,1943
51,23864
53,14731
55,31123
2223,30
39,17520
41,27086
2391,6461
45,54675
47,1099
1152,50345
1228,35776
40,305592
42,377599
46,522309
48,26213
2488,207839
44,906522
1432,99593
472,381217
474,57296
476,3744
56,1463488
460,918948
58,693785
462,324188
1592,7085
1218,237957
1180,82
60,7385
464,4457
2224,3964
2588,14833
2592,352
567,2802
589,1643
155,38
225,3139
227,379
2379,1570
134,67459
136,46438
150,29962
208,15986
210,119131
224,216149
222,34089
564,72168
566,234836
576,39140
148,20691
588,14730
586,14611
592,1237
1112,489
1116,27929
2388,9758
590,42011
212,20879
214,5797
228,2941
226,24079
568,61846
570,2573
152,23021
190,23341
565,41324
147,1198
149,854
92,5076
459,113612
1175,11
471,21091
1179,38
1217,33284
189,114
93,52
151,628
209,6652
211,3559
213,957
579,3
577,1
205,847
153,538
2217,4447
161,522
475,22
1181,61
1431,11241
1591,235
1489,26
1471,10
1243,101
2404,966542
1154,6053
1244,7400
1230,1968
94,6439
96,1152
580,9911
578,99660
234,8592
172,14423
207,95
237,891
239,41
169,185
1490,4035
1476,1403
1496,1179
194,12815
196,43940
192,13170
238,37956
240,2184
198,18852
2226,6
1182,177
1472,4
138,41471
140,178824
142,76036
1222,535831
2486,4858
2520,2676
144,12676
133,257
163,11
1153,285
165,133
167,10
100,2953
200,2045
98,1545
1386,985
2204,195188
2506,698
1385,296
2503,2
2600,6691
467,6112
469,2645
1240,49
455,16197
1239,74
106,57866
242,609
1494,12
1176,1
2496,6360
2572,4276
1284,110796
1388,489
2234,994
2504,2
1188,2919
95,1521
97,41
1229,113
2403,62373
1221,39658
2519,830
2203,21739
1122,662
108,47098
2485,162
139,54
236,3928
1187,233
171,1
91,192
231,703
235,34
233,230
1352,10368
1511,2
2233,1185
2599,589
1283,5831
1387,461
457,7590
2571,284
2505,155
59,48
479,7671
483,2574
485,53620
19,15050
537,3571
17,3374
535,271
761,46208
531,13029
547,127
2209,207
18,14744
20,117057
538,125389
486,670531
536,17499
552,23338
550,7540
532,35539
548,5941
762,100274
2210,6344
2214,8590
480,138727
484,72480
779,17
781,2109
523,1128
15,9641
521,136
775,110
561,4937
776,9689
520,5312
780,1536
522,2567
782,14895
524,70418
551,312
549,188
16,20308
2220,1404
2219,114
519,234
1223,33061
1197,126
175,461
177,128
1201,3232
653,1706
655,2569
659,238
1389,1209
2559,307
1291,14249
1379,862
1381,300
1407,1300
1605,17753
1427,720
1515,170
1371,1742
1441,55
1565,486
1597,445
949,19782
935,3203
1355,680
1361,82
1289,1704
1437,1
1399,64
1363,271
1505,1398
1224,173309
1198,2119
176,56664
114,36806
116,14978
1408,71579
1296,66802
2426,5309
180,20094
182,131622
112,133936
850,11705
848,1400
856,2143
178,39835
1202,1652
852,1432
1136,425
2522,1016
1194,17
110,47311
890,651
1196,21
2390,498
582,11
604,166001
660,155665
662,107262
606,28580
184,14505
664,1544
608,1261
186,5936
2236,498
1606,394721
1590,99374
1566,1303
1598,2154
1338,21895
1366,18567
1402,8980
1360,1949
1372,9744
1364,1307
1400,1395
1290,17596
1356,2525
1358,2354
600,55682
654,57481
602,39062
656,37957
1516,994
1600,15
1292,66865
1382,1039
105,374
2443,5583
1589,15680
1295,875
1365,344
599,349
672,59311
668,60505
1369,62
1370,158
1398,955
1396,76
1395,47
1390,1281
1391,59
1442,61
1503,15
674,239545
1392,101
1599,19
950,9460
1504,2
676,78730
678,11419
936,270
954,2611
1426,544
1380,2091
1362,10
2560,1956
1428,4562
575,61
573,482
601,331
603,12
2235,94
1357,436
1401,97
1351,1057
1337,1814
1121,14
2444,176322
1436,52
1340,53250
696,35079
1300,82929
1135,26
855,17
851,1
2482,172
1128,84
2434,21624
102,355
1595,9520
1301,3831
1297,1930
1299,2233
953,3447
1403,5017
1339,2547
1613,183671
1345,545
1603,222
1416,2101
2436,5719
1602,178821
346,31924
698,19729
348,15524
700,7221
702,75532
704,20507
706,1219
2400,49120
2492,2432
1330,1481
1586,12690
1480,1275
2576,49
1614,1013590
1696,13970
1680,3819
1302,45998
1312,2561
1308,8806
1404,78141
2574,27265
1576,271
1468,151
1612,154
2510,3468
916,6013
1072,7325
982,2672
2394,16121
203,360
1601,13127
1311,236
1397,874
667,4696
1479,157
1585,3555
1466,40
2575,103
1679,410
1307,281
2435,24
1411,385
709,205
247,14
249,289
1127,60
889,628
2481,5
724,10111
750,1034
304,7866
1131,163
1690,205306
1596,65899
1342,38194
1346,68417
1298,38002
1604,245
910,1557
2320,339144
1594,12251
350,7450
352,99181
354,13555
356,726
2532,10
248,14498
276,6459
278,350
306,4963
308,1515
726,8986
728,3633
730,23595
738,378
1002,451
992,2576
994,345
752,574
250,8275
280,153
866,952
1138,6
716,210
718,290
720,111
878,8
710,4165
712,217
310,24835
312,3367
732,837
742,15
1008,316
1012,965
754,243
756,281
740,260
744,46
254,9433
282,1326
252,2827
256,1149
1124,2015
1130,2021
1132,397
1593,790
2319,39935
345,28
758,2
734,66
284,300
258,91
314,22
1329,97
2425,30
1467,13
915,2872
909,123
1425,74
2573,4704
1695,1140
1071,272
671,2747
277,105
275,1312
303,838
749,86
737,44
1948,66
1984,16
1893,35
1961,3036
1967,13562
1968,1612
2196,3
1962,17
1947,333
2195,1065
540,12717
488,122399
554,3991
22,20403
21,18917
525,12851
563,14400
526,15750
487,15210
539,4332
553,280
376,6649
378,2723
1110,967
1056,7109
1638,417
1064,1362
1048,1241
1772,11090
2282,6987
2030,2767
2360,11232
2286,8196
1632,16645
380,7244
1678,114764
1654,921497
2350,6200
2562,3397
1736,26914
1722,816
1864,32169
1768,117415
1664,25950
1666,6080
1852,9993
1826,411765
2276,71598
2402,15256
1670,119386
1668,84380
1710,18
1716,1
1718,191
2242,502
1838,29104
1622,9621
1620,10820
1686,2171
1652,7702
1624,2754
1706,1588
1808,432
1636,2631
2254,80
2230,2867
432,6377
434,48
436,86
362,3296
418,202
375,11230
361,2505
363,184
365,60
393,1964
419,6
421,1
395,45
435,903
437,334
373,1181
359,197
377,680
389,3772
1851,4955
1837,6964
1767,118977
1825,42017
1669,8090
1619,973
1667,8284
1663,4481
1665,669
1677,27389
2601,556
2602,40
1715,249
1709,2
1763,134
1653,149021
2561,3468
1762,9651
2275,11104
1721,88
1623,963
1621,1553
1764,74
2352,455
1761,8446
2351,61
1109,7201
1055,5616
2229,3933
1631,18266
2281,20077
1771,56655
1735,111926
2359,32117
2253,11989
2255,4801
2029,16748
1779,30447
1635,57
1637,583
1863,39384
1717,253
2349,25768
2401,125
1685,660
431,34
417,178
1845,7769
1807,3142
1651,9325
1705,4599
2285,3130
1063,1680
379,7
1047,1503
360,1043
364,5
1030,303
1026,1275
1020,1274
438,53
366,2
394,75
1001,279
993,4031
751,650
753,43
739,24
991,1316
1034,20
430,3647
374,5216
1422,115
382,2736
384,213
1412,736
1328,90
1415,1391
1701,344
673,346
2243,74
2557,105
1561,2
1563,12
1699,226
1697,2
2525,513
1541,2087
402,12778
404,3326
2406,370265
1324,8516
406,1239
410,2529
1332,15
1322,8866
1414,58
2244,340
1642,2
279,117
2405,14422
1303,570
1323,1426
1343,873
1694,3127
412,491
1610,121150
1646,748319
1552,3
1304,32674
408,9949
1090,151
1310,43898
1421,23
1413,29
1344,3371
1609,6964
1551,2
1689,10111
1309,920
1137,3
290,8872
298,6927
332,2612
340,100
2558,750
2526,7045
1542,9265
1562,1
1702,3544
1698,5327
1692,3609
1700,17182
286,41
338,303
1564,67
1089,1
2185,17024
2199,12573
2356,970
2012,14060
1782,14294
2362,3216
1886,3923
2011,31193
2355,11500
1781,123297
2201,36
1997,240
2052,1166
1824,2924
2262,206
2006,352
1823,3807
2051,3940
2018,1115
2271,120
2017,2965
2005,718
2261,1504
1953,375
2213,4756
2418,1078
2417,3
1827,49810
1862,18
1866,221
1865,645
2060,1818
1821,550
1861,15
1783,5422
1847,318
2186,6169
1811,9038
1627,17634
1839,7741
1841,2754
1840,406
2200,4976
2272,42
1937,18
1629,5248
1867,2
1639,119
1857,288
1809,1869
1828,11395
1896,3292
1630,2123
1822,205
1780,615
1848,1518
1784,3628
1869,1
2265,674
1931,11
1817,77
1842,270
1640,38
1858,309
1816,19
1938,48
2386,166733
2385,19481
569,1427
800,29171
799,1154
489,927
822,11612
1184,1
2433,101
1190,75
109,7
695,638
849,136
847,1
1189,352
2531,1
697,114
821,501
501,86
490,5167
502,15791
504,991
556,255
594,47
812,2014
500,75028
498,12667
499,124
497,23
593,89
527,176
528,4067
494,16675
811,94
2495,1
1359,524
2511,3
1553,16
1509,20
1554,3
1510,82
2512,1
141,88
135,61
241,2
1512,59
1019,495
1860,1543
1628,3590
1810,73
387,48
1017,966
1836,531
1846,1347
1812,563
1844,9
1843,330
1835,5891
1859,2064
2245,104
1818,75
1025,1438
1720,72
1719,82
1895,1638
1018,1141
899,1918
368,5
370,1
424,10
440,39
1634,2422
723,253
725,18
727,4
952,1594
900,598
1708,522963
1734,56766
1648,587112
1733,6848
1645,72200
1107,1847
1633,4
1319,668
1321,6099
729,19
731,2
1707,42544
1647,101591
2239,577
1649,1240
1755,233
1749,708
2240,1838
1320,5103
1108,647
1714,350
1745,36
1751,99
1752,476
1746,189
1747,45
1748,1736
1650,400
1754,50
1741,30
1742,15
2464,4827
2463,1411
1739,40
1740,477
2458,27
1760,1303
1759,1164
951,2132
1405,291
1313,56
1750,2865
1756,2896
2102,1
1992,870
1682,6134
1684,2141
2564,8237
1534,12443
1540,538
1538,865
1536,447
1758,211
1744,75
1341,292
2393,91
296,24917
416,118
292,9246
422,43
294,2812
300,86
865,1338
877,1
2491,18
925,771
1406,13334
1314,3316
1724,278
2563,5037
1727,6440
1533,3803
2231,74
1683,2256
1681,2218
1535,5
1726,46
1728,78614
415,12
2232,61
1537,70
1711,138
1713,189
1712,731
1539,716
1528,212
926,251
334,1568
542,434
555,23
541,62
24,519
711,3
289,178
1007,6
291,3
1527,987
1140,14
401,12
336,211
305,7
1693,45
342,30
2509,1
1011,6
2283,13
1029,217
2284,6
1033,25
391,1146
390,23
