file,compare,region,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
./adapt_box/15257/210254_2309_x13266_y25533.swc,manual,AId5,11966,12.5664,9,84,175,92,832.745,1001.32,501.525,1.99983,26228.5,164798,82399.2,677.97,1277.02,17,0.900227,67.3714,1,78.962,73.972,1.1757
./adapt_box/15257/210254_2309_x13266_y25533.swc,recons,AId5,609,1017.88,2,34,72,39,832.98,1002,502,2.62989,10979.2,82896.5,68184,628.932,1185.45,11,0.944713,7.44444,0.859061,57.565,62.8764,1.21223
./adapt_box/15257/210254_4021_x16401_y21556.swc,manual,MOs6a,5650,12.5664,6,40,84,45,821.361,1007.14,361.815,1.99965,12323.5,77430.5,38715.3,681.8,956.576,17,0.922334,66.25,1,75.5728,82.5879,1.09483
./adapt_box/15257/210254_4021_x16401_y21556.swc,recons,MOs6a,404,452.389,5,26,56,31,829.999,1022,362.18,2.64257,7228.8,56071.5,43449.5,693.573,769.503,14,0.941106,6.19643,0.882738,60.0468,68.4402,1.16421
./adapt_box/17109/17109_4101_x6753_y6197.swc,manual,SSp-n6a,8044,12.5664,5,72,147,76,679.632,917.968,363.728,1.99975,18822.4,118264,59132.2,686.005,1325.5,9,0.942363,53.7143,1,77.5211,69.2543,1.07315
./adapt_box/17109/17109_4101_x6753_y6197.swc,recons,SSp-n6a,545,1017.88,5,43,89,47,680,918,364,2.7578,9673.43,79981.4,69896.7,562.985,655.246,9,0.939841,5.11236,0.963488,56.8893,54.9357,1.22569
./adapt_box/17109/17109_4764_x6621_y5727.swc,manual,SSs6a,4911,12.5664,4,49,100,52,1019.21,862.322,197.06,1.99959,12467.6,78335.9,39168,572.462,1159.48,8,0.933562,48.1,1,76.2844,73.6716,1.11411
./adapt_box/17109/17109_4764_x6621_y5727.swc,recons,SSs6a,516,1256.64,6,45,95,51,1022,864,198.08,3.18721,8934.81,79466.4,76783,598.311,854.735,10,0.952222,4.42105,0.914995,57.8296,67.0547,1.25632
./adapt_box/17109/17109_2601_x9498_y8169.swc,manual,AId6a,5106,12.5664,6,45,94,50,839.824,609.691,285.504,1.99961,11305.4,71033.8,35516.9,562.616,855.256,10,0.933701,53.3085,1,62.8523,61.8382,1.0975
./adapt_box/17109/17109_2601_x9498_y8169.swc,recons,AId6a,592,1017.88,5,47,97,51,842,638.68,305.76,2.41588,10374.5,73383.9,53287.8,504.762,702.061,13,0.948708,5.09278,0.944183,63.4462,65.4769,1.2548
./adapt_box/17109/17109_1801_x6698_y12550.swc,manual,ORBl6a,7991,12.5664,5,68,139,72,935.497,767.587,198.488,1.99975,17187.2,107991,53995.3,689.077,1578.58,9,0.923226,56.482,1,71.5896,76.3198,1.11673
./adapt_box/17109/17109_1801_x6698_y12550.swc,recons,ORBl6a,620,1256.64,2,52,104,53,938,768,206,2.64581,10849.3,82185.4,66953.6,692.306,713.162,11,0.936359,4.95192,1.00265,58.4193,64.7579,1.33541
