,brainid,raw_somaxyz,swc42k_raw_somaxyz,swc42k_raw_somaxyz_dist,swc1891_swcfile,swc1891_raw_somaxyz,swc1891_raw_somaxyz_dist,raw_somaregion,regi_somaxyz,swc42k_regi_somaxyz,regi_somaregion_n671_u32,regi_somaregion,regi_somaregion_n671_u32_check,regi_somaregion_check,swc1891_42kfile
5502,15257,"[13261.242, 25519.086, 2289.98]","[13261.24, 25519.0, 2289.98]",0.0860232526697665,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//15257/210254_2309_x13266_y25533.swc,[13263.808 25518.4    2294.128],4.925531037360529,,"[134.171, 163.263, 126.921]","[133.948, 163.407, 126.948]",1101,AId5,1101,AId5,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/150k_0602/15257/Img_X_6630.62_Y_12759.5_Z_1144.99.v3dpbd.swc
5869,15257,"[16399.938, 21559.73, 4018.632]","[16399.94, 21559.8, 4018.64]",0.0704840407465254,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//15257/210254_4021_x16401_y21556.swc,[16402.305 21557.695  4020.896],3.856113328211384,,"[219.038, 67.394, 195.256]","[218.852, 67.539, 195.316]",1021,MOs6a,1021,MOs6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/150k_0602/15257/Img_X_8199.97_Y_10779.9_Z_2009.32.v3dpbd.swc
6901,17109,"[6760.03, 6208.625, 4161.819]","[6760.02, 6208.62, 4161.82]",0.0112249721596917,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_4101_x6753_y6197.swc,[6758.784 6199.168 4163.6  ],9.703572847153072,,"[241.42899999999997, 124.773, 85.207]","[241.207, 124.714, 85.073]",889,SSp-n6a,889,SSp-n6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3380.01_Y_3104.31_Z_2080.91.v3dpbd.swc
6904,17109,"[6624.767, 5736.219, 4766.702]","[6624.76, 5736.22, 4766.7]",0.0073484692281138,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_4764_x6621_y5727.swc,[6621.312 5731.904 4770.304],6.597776443620612,,"[272.094, 119.564, 78.668]","[271.882, 119.508, 78.554]",862,SSs6a,862,SSs6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3312.38_Y_2868.11_Z_2383.35.v3dpbd.swc
6928,17109,"[9502.57, 8169.406, 2696.72]","[9502.58, 8169.4, 2696.72]",0.0116619037900387,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_2601_x9498_y8169.swc,[9504.256 8167.808 2700.528],4.460612513993877,,"[166.198, 186.175, 105.797]","[166.074, 186.137, 105.677]",783,AId6a,783,AId6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_4751.29_Y_4084.7_Z_1348.36.v3dpbd.swc
7036,17109,"[6700.426, 12555.309, 1848.529]","[6700.42, 12555.3, 1848.53]",0.0108627804913829,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_1801_x6698_y12550.swc,[ 6704.448 12550.08   1853.408],8.205093905616916,,"[119.827, 138.101, 167.637]","[119.57400000000001, 138.048, 167.466]",440,ORBl6a,440,ORBl6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3350.21_Y_6277.65_Z_924.265.v3dpbd.swc
7139,17109,"[4327.526, 6755.937, 6290.781]","[4327.52, 6755.94, 6290.78]",0.0067823299824955,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_6601_x4384_y7436.swc,[4332.288 6759.68  6296.272],8.175437236013746,,"[351.004, 71.322, 101.197]","[350.774, 71.238, 101.115]",33,VISp6a,33,VISp6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_2163.76_Y_3377.97_Z_3145.39.v3dpbd.swc
7142,17109,"[6998.252, 4289.678, 6541.397]","[6998.26, 4289.68, 6541.4]",0.0087749643872105,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_6501_x6997_y4287.swc,[6999.232 4289.024 6542.176],1.4124294672652675,,"[366.07, 121.363, 62.815]","[365.899, 121.297, 62.709]",729,TEa6a,729,TEa6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3499.13_Y_2144.84_Z_3270.7.v3dpbd.swc
7148,17109,"[7647.286, 3977.741, 6436.184]","[7647.28, 3977.74, 6436.18]",0.0072801098895143,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_6401_x7989_y3767.swc,[7644.288 3978.944 6434.816],3.508081669517405,,"[361.183, 131.084, 58.278]","[361.01, 131.012, 58.171]",729,TEa6a,729,TEa6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3823.64_Y_1988.87_Z_3218.09.v3dpbd.swc
7149,17109,"[7812.535, 4105.141, 6498.83]","[7812.54, 4105.14, 6498.84]",0.011224972160502,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_6401_x7641_y3978.swc,[7808.768 4104.    6501.536],4.776463754703737,,"[363.725, 133.779, 61.336]","[363.553, 133.709, 61.234]",786,TEa6b,786,TEa6b,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3906.27_Y_2052.57_Z_3249.42.v3dpbd.swc
7190,17109,"[6206.511, 5193.867, 7064.245]","[6206.52, 5193.86, 7064.24]",0.0124498995983335,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_7001_x6205_y5194.swc,[6203.84  5191.296 7063.616],3.76030889688612,,"[390.32, 108.929, 77.367]","[390.15, 108.867, 77.287]",312782644,VISpor5,312782644,VISpor5,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3103.26_Y_2596.93_Z_3532.12.v3dpbd.swc
7198,17109,"[5739.229, 6478.264, 7050.017]","[5739.22, 6478.26, 7050.02]",0.010295630141141,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_7001_x5738_y6470.swc,[5743.808 6480.64  7052.464],5.709678274649019,,"[389.244, 99.682, 99.977]","[389.081, 99.621, 99.896]",579,ec,0,,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_2869.61_Y_3239.13_Z_3525.01.v3dpbd.swc
