,Cell name,formatted name,Soma_x,Soma_y,Soma_z,Registered_soma_region,Manually_corrected_soma_region,Cortical_layer,Transgenic_line,Brain_id,Subclass_or_type
0,17109_1701_x8048_y22277,17109_1701-X8048-Y22277,2723.0,3720.1,3799.049999999999,AId,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
1,17109_1801_x6698_y12550,17109_1801-X6698-Y12550,2840.9,3417.85,3868.175,AId,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
2,17109_1901_x9602_y10508,17109_1901-X9602-Y10508,3075.1,4599.35,3051.7,AId,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
3,17109_2201_x8046_y23301,17109_2201-X8046-Y23301,3230.875,3565.525,3383.525000000001,MOs,MOs,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
4,17109_2301_x8535_y23051,17109_2301-X8535-Y23051,3332.7,3778.725,3448.949999999999,AId,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
5,17109_2301_x9418_y23665,17109_2301-X9418-Y23665,3321.075,4105.075,3204.549999999999,AId,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
6,17109_2401_x8977_y24184,17109_2401-X8977-Y24184,3475.075,3864.675000000001,2983.700000000001,MOp,MOp,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
7,17109_2401_x9338_y2394,17109_2401-X9338-Y2394,3481.175,4035.25,3181.325000000001,AId,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
8,17109_2401_x9695_y9693,17109_2401-X9695-Y9693,3773.0,4615.9,2773.575,AId,CLA,,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
9,17109_2401_x9954_y9122,17109_2401-X9954-Y9122,3761.95,4752.95,2469.4,AId,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
10,17109_2500_x9864_y9311,17109_2500-X9864-Y9311,3837.350000000001,4692.35,2593.5,AId,CLA,,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
11,17109_2601_x10213_y8783,17109_2601-X10213-Y8783,4015.3,4819.5,2381.175,AId,CLA,,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
12,17109_2601_x9296_y24691,17109_2601-X9296-Y24691,3702.25,3923.05,2753.725000000001,MOp,CLA,,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
13,17109_2601_x9498_y8169,17109_2601-X9498-Y8169,4017.625000000001,4587.825,2147.45,AId,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
14,17109_3101_x10824_y7188,17109_3101-X10824-Y7188,4617.95,4990.225,1840.85,AId,CLA,,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
15,17109_3701_x9228_y26684,17109_3701-X9228-Y26684,5017.175,3640.725,2000.9,SSs,SSs,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
16,17109_4101_x6753_y6197,17109_4101-X6753-Y6197,5549.5,3001.725,1596.8,SSp-n,SSs,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
17,17109_4764_x6621_y5727,17109_4764-X6621-Y5727,6269.05,2860.775,1500.3,SSs,SSs,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
18,17109_4772_x9038_y27257,17109_4772-X9038-Y27257,6128.125,3321.925,1735.475000000001,SSs,SSs,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
19,17109_6201_x4328_y6753,17109_6201-X4328-Y6753,8374.225,1697.025,2579.9,VISal,VISp,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
20,17109_6301_x4756_y24516,17109_6301-X4756-Y24516,7803.649999999999,1049.625,2740.375,VISrl,VISrl,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
21,17109_6401_x7641_y3978,17109_6401-X7641-Y3978,8603.4,3151.55,1138.15,AUDv,AUDv,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
22,17109_6401_x7989_y3767,17109_6401-X7989-Y3767,8434.125,2962.375,1005.5,AUDp,AUDv,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
23,17109_6501_x6997_y4287,17109_6501-X6997-Y4287,8623.1,2887.925,1144.35,AUDv,AUDpo,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
24,17109_6601_x4384_y7436,17109_6601-X4384-Y7436,7979.025,1655.974999999999,2215.55,VISrl,VISal,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
25,17109_6601_x5417_y25287,17109_6601-X5417-Y25287,8085.475000000001,1281.1,2462.775,VISrl,VISal,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
26,17109_6801_x7432_y4405,17109_6801-X7432-Y4405,8991.975,3034.325,1275.975,TEa,TEa,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
27,17109_6901_x7203_y26714,17109_6901-X7203-Y26714,8588.975,2233.4,1690.799999999999,TEa,TEa,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
28,17109_7001_x5738_y6470,17109_7001-X5738-Y6470,8951.85,2409.375,2123.35,fiber tracts,VISl,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
29,17109_7001_x6205_y5194,17109_7001-X6205-Y5194,9074.7,2596.15,1517.425,TEa,TEa,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3
30,17300_3426_x20339_y44872,17300_3426-X20339-Y44872,5190.75,3477.625,1760.200000000001,SSs,SSs,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT
31,17300_3514_x19676_y45282,17300_3514-X19676-Y45282,5302.6,3615.35,1650.625,SSs,SSs,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT
32,17300_5571_x27063_y39610,17300_5571-X27063-Y39610,7659.25,832.875,3224.45,VISa,VISa,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT
33,17300_5896_x24862_y27320,17300_5896-X24862-Y27320,8084.875,1380.475,5343.5,RSPv,RSPv,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT
34,17300_5969_x27278_y20820,17300_5969-X27278-Y20820,8002.249999999999,652.2,3835.575,VISpm,VISp,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT
35,17300_6010_x23413_y13446,17300_6010-X23413-Y13446,8146.75,1721.45,1893.325,VISal,VISal,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT
36,17302_00001,17302_3063-X16234-Y15505,4912.75,4900.875,2445.775,AId,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr
37,17302_00002,17302_2952-X16201-Y15609,4815.65,4976.625,2421.275,CLA,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr
38,17302_00003,17302_3096-X16415-Y15069,4908.25,4910.875,2340.625,CLA,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr
39,17302_00005,17302_2914-X17153-Y16362,4828.825,4615.1,2588.875,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr
40,17302_00006,17302_3169-X17114-Y15565,5114.05,4599.975,2407.525,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr
41,17302_00007,17302_3203-X16998-Y15661,5030.875,4426.55,2712.4,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr
42,17302_00009,17302_3054-X17723-Y15949,4938.075,4175.05,2783.75,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr
43,17302_00010,17302_3072-X18275-Y16230,5068.475,3987.55,2783.275,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr
44,17302_00011,17302_3218-X17695-Y15518,5057.7,4183.525,2675.799999999999,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr
45,17302_00013,17302_3110-X18082-Y15784,4972.925,4085.525,2721.950000000001,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others
46,17302_00014,17302_2909-X19230-Y16207,4699.0,4063.45,2503.325000000001,SSp-m,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others
47,17302_00015,17302_3261-X18988-Y15755,5154.225,4075.625,2440.125,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others
48,17302_00016,17302_3104-X20212-Y16377,4940.725,3787.775,2558.65,fiber tracts,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe
49,17302_00017,17302_4580-X16477-Y14183,6709.425,4386.55,2114.174999999999,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe
50,17302_00018,17302_3044-X14958-Y17061,5019.175,5241.7,2881.174999999999,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe
51,17302_00020,17302_4341-X14992-Y21956,6667.55,4863.25,4084.35,VAL,VPL,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core
52,17302_00021,17302_4279-X15595-Y22231,6569.599999999999,4656.425,4118.55,VPM,VPL,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core
53,17302_00023,17302_4033-X15030-Y27059,6368.975,4632.725,5263.875,AM,AM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core
54,17302_00024,17302_3477-X14936-Y29812,5800.15,4633.575,5540.025,PVT,PVT,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_matrix
