,region_name_r316,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
18464_00048,VPM,7551,12.5664,6,48,100,53,307.65,273.1,299.225,1.99974,6916.39,43457,21728.5,262.574,350.36,9,0.838971,74.5,1,58.8098,64.5684,1.12911
18458_00277,VPM,4753,12.5664,7,34,73,40,192.375,273,369.825,1.99958,4523.31,28420.8,14210.4,297.042,338.263,8,0.885274,64.0959,1,67.4322,66.7387,1.15388
18463_00075,CP,5349,12.5664,7,64,133,70,207.575,308.625,404.6,1.99963,7430.89,46689.6,23344.8,263.633,498.91,9,0.858825,39.2105,1,77.271,71.0713,1.16137
17302_00125,LP,11321,12.5664,2,52,104,53,254.924,249.4,283.65,1.99982,6667.18,41891.1,20945.6,201.652,287.313,13,0.873235,107.846,1,66.113,69.0503,1.17736
17545_00001,CP,9146,12.5664,4,56,114,59,289.9,307.75,216.749,1.99978,7648.1,48054.4,24027.2,239.501,970.547,18,0.828037,79.2193,1,70.6269,86.5165,1.17472
pre_18866_00299,,4096,12.5664,4,34,70,37,310.075,309.325,454.5,1.99951,5703.09,35833.6,17916.8,303.19,498.778,11,0.883366,57.5,1,62.3838,63.9279,1.07128
18457_00241,SGN,10298,12.5664,6,59,122,64,311.025,298.95,221.45,1.99981,8687.98,54588.2,27294.1,200.559,324.496,12,0.888715,83.4016,1,70.5593,64.7651,1.13645
17302_00014,CP,5981,12.5664,6,31,66,36,281.675,307.775,354.25,1.99967,5136.65,32274.5,16137.2,292.44,886.211,9,0.852972,89.6061,1,90.2678,74.8293,1.16432
18453_6040_x24821_y3042,VISam,7860,12.5664,7,59,123,65,310.1,308,454.9,1.99975,9286.2,58346.9,29173.4,286.199,648.5,12,0.888177,62.8943,1,74.7314,71.2425,1.09851
pre_18864_00108,,14424,12.5664,7,137,279,143,308.575,309.275,514.175,1.99986,16934.7,106404,53201.8,297.217,669.311,10,0.872522,50.6953,1,67.1286,65.9827,1.28036
17545_00054,VPM,4279,12.5664,8,33,72,40,186.85,215.3,355.5,1.99953,3424.45,21516.4,10758.2,270.7,411.31,7,0.865007,58.4167,1,71.6754,56.1088,1.15704
18463_00073,VPL,6389,12.5664,7,68,141,74,286.85,242.125,413.025,1.99969,8269.66,51959.8,25979.9,277.439,468.212,8,0.928166,44.305,1,66.8882,54.28,1.15808
18868_6000_x19811_y5444,RSPv,16714,12.5664,2,133,266,134,310.725,308.825,451.075,1.99988,16076.9,101014,50507.1,312.986,659.381,19,0.91001,61.8308,1,65.523,61.2218,1.21122
18454_01125,VPM,5986,12.5664,6,51,106,56,195.4,275.875,362.075,1.99967,5233.73,32884.5,16442.3,265.433,501.718,8,0.902851,55.4623,1,75.9514,67.2175,1.22883
17545_00119,CP,8025,12.5664,5,59,121,63,306.075,297.65,459.175,1.99975,7654.96,48097.5,24048.8,303.4,506.949,10,0.805118,65.314,1,85.4877,70.0373,1.13876
18457_00005,CP,8467,12.5664,4,69,140,72,276.7,308.025,324.6,1.99976,7786.9,48926.6,24463.3,237.367,743.517,12,0.819293,59.4714,1,65.6934,81.2537,1.15389
pre_18464_00103,,1565,12.5664,2,14,28,15,307.625,210.175,174.725,1.99872,1659.94,10429.7,5214.84,192.964,274.082,5,0.896165,54.8571,1,48.2386,52.4176,1.04064
17302_00085,CP,15704,12.5664,6,69,142,74,310.025,307.9,512.225,1.99987,11740,73764.4,36882.2,299.017,698.768,10,0.813526,109.585,1,75.5487,85.9925,1.18914
17109_2601_x9498_y8169,AId,4949,12.5664,6,48,100,53,309.625,280.575,286.925,1.9996,5734.14,36028.7,18014.3,255.114,490.605,10,0.929277,48.48,1,60.7787,60.8531,1.09348
18453_7309_x5442_y9199,TEa,8601,12.5664,7,59,123,65,309.649,308.35,487.125,1.99977,10488.6,65902,32951,291.918,877.2,10,0.855843,68.9187,1,86.9489,83.1105,1.08741
18465_00079,VPM,5371,12.5664,7,47,99,53,278.2,223.75,268.8,1.99963,5125.35,32203.5,16101.8,225.765,280.851,9,0.886895,53.2424,1,86.7915,61.9512,1.17089
18457_00081,AON,1999,12.5664,3,15,31,17,276.6,308.6,386.35,1.999,2791.3,17538.3,8769.14,249.722,431.233,5,0.860978,63.4516,1,63.5711,83.3035,1.03746
18454_01122,VPM,2964,12.5664,9,37,81,45,206.175,276.4,136.8,1.99933,3495.08,21960.2,10980.1,165.668,182.095,8,0.905999,35.5802,1,63.2841,56.1236,1.19318
18453_6561_x9442_y3817,VISrl,9962,12.5664,7,86,177,92,311.725,308.825,503.9,1.9998,11570.3,72698.6,36349.3,308.056,602.232,14,0.909318,55.2768,1,78.2372,69.6927,1.11905
18463_00056,VPL,8548,12.5664,5,53,109,57,271.925,308.1,512.7,1.99977,9136.36,57405.5,28702.7,295.642,366.928,8,0.914342,77.4128,1,57.8695,51.0179,1.1766
18462_00042,VPL,3556,12.5664,7,28,61,34,274.525,294.6,226.35,1.99944,4777.86,30020.2,15010.1,208.577,244.327,5,0.876943,57.2787,1,68.3077,51.7762,1.10448
17545_00088,LGd,10612,12.5664,4,79,160,82,277.15,215.675,136.75,1.99981,6307.53,39631.4,19815.7,166.097,302.214,16,0.875981,65.3187,1,86.1851,75.8849,1.2767
15257_4021_x16401_y21556,,5028,12.5664,6,38,80,43,310.375,308.025,383.275,1.9996,6352.52,39914.1,19957,289.282,565.701,15,0.912587,61.8375,1,72.0492,87.3285,1.09913
18453_7112_x9089_y4667,VISp,10214,12.5664,6,81,166,86,311.226,308.725,481.575,1.9998,12769.1,80230.7,40115.3,301.636,620.293,9,0.883793,60.5241,1,77.3269,76.0584,1.11368
18454_00080,,5147,12.5664,5,36,75,40,314.75,265.425,514.025,1.99961,7739.01,48625.6,24312.8,295.226,675.12,7,0.803015,67.6133,1,53.2661,93.0569,1.16639
18465_00054,DG,2153,12.5664,5,18,39,22,311.2,268.35,325.45,1.99907,2746.32,17255.6,8627.82,247.012,508.873,5,0.915957,54.1795,1,66.6176,54.4618,1.07026
18454_00148,VPL,4717,12.5664,9,44,95,52,268.1,295.25,148.875,1.99958,5383.26,33824,16912,174.364,241.845,9,0.901652,48.6421,1,69.6543,54.004,1.1698
18465_00053,CA1,6923,12.5664,6,55,114,60,309.024,279.55,511.975,1.99971,6423.58,40360.6,20180.3,295.892,568.784,22,0.882258,59.7193,1,70.5593,70.2136,1.20036
18465_00282,CP,8645,12.5664,5,82,167,86,271.525,260.1,280.125,1.99977,8338.98,52395.3,26197.7,209.022,556.199,13,0.818166,50.7605,1,73.3817,78.1106,1.22621
17781_3819_x16144_y41186,SSs,10949,12.5664,7,69,143,75,308.625,308.125,375.3,1.99982,8963.05,56316.5,28158.2,317.343,740.201,9,0.878248,75.5594,1,79.4651,69.7364,1.11311
18869_3395_x6415_y6741,SSp-m,8535,12.5664,6,81,166,86,309.1,309.5,485.2,1.99977,12037.4,75632.9,37816.5,324.824,552.945,17,0.881591,50.4096,1,81.8451,77.1858,1.12524
18454_00159,VPM,9472,12.5664,10,81,170,90,279.525,302.475,387.85,1.99979,10341.5,64977.4,32488.7,259.475,386.056,8,0.903683,54.7118,1,67.8719,57.3759,1.28152
