region_name_r316,brain_structures,NumRecons,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
ACB,CNU,10,-1.45771,-1.7761e-05,-1.40733,-1.19944,-1.22096,-1.24134,-1.69058,-1.2649,-1.07931,-1.11982,-1.37401,-1.37401,-1.37401,-1.01327,-0.25534,-0.963628,-2.80994,-0.795151,0,0.816124,2.11498,-0.484829
AId,CTX,21,-0.738685,-5.32831e-05,0.0373162,-0.41564,-0.41174,-0.40756,0.143018,0.45321,0.474579,-0.186051,-0.411417,-0.411418,-0.411417,0.760409,0.501808,-0.560493,1.64588,-0.816585,0,-0.538601,-0.287031,-0.759209
CLA,CTX,28,-1.17333,-8.88051e-05,-1.29501,-0.838469,-0.860319,-0.881237,0.00139581,-0.305377,-0.391941,-0.658267,-1.14683,-1.14683,-1.14683,-0.140172,0.173991,-0.970799,1.09765,-0.91483,0,-0.655402,-0.172383,-1.1408
CP,CNU,311,-0.34164,0.000603875,-1.0897,-0.597031,-0.616272,-0.634756,-0.201807,-0.253394,-0.404002,-0.0973095,-0.607317,-0.607318,-0.607318,-0.23772,0.876086,-0.140209,-3.08336,0.575873,0,0.16597,1.5743,0.0906082
LD,BS,10,0.587975,-1.7761e-05,0.165044,-0.460677,-0.453649,-0.446368,-0.720831,-0.782154,-0.413723,0.639564,-0.295782,-0.295782,-0.29578,-0.791209,-1.20531,-0.595548,-0.659564,2.16794,0,-1.62077,-0.874157,0.521545
LGd,BS,78,-0.774382,0.000142088,0.11524,-0.622315,-0.615125,-0.607596,-1.10432,-2.55655,-1.84445,-0.415246,-1.0359,-1.0359,-1.03591,-2.03437,-1.62775,-0.949042,0.297089,-0.606693,0,-0.811128,-0.96448,1.84854
LP,BS,16,0.32361,-5.32831e-05,-0.725195,-0.730104,-0.740383,-0.749977,-1.15658,-0.170133,-0.478334,0.523605,-0.563405,-0.563405,-0.563406,-0.702437,-1.44357,-1.00964,-0.619253,2.52664,0,-1.20972,-0.798876,0.0134923
MG,BS,50,-0.781111,0,0.609007,-0.91855,-0.898325,-0.877813,-0.867377,-1.35264,-2.00052,-0.40455,-1.02095,-1.02095,-1.02095,-2.04821,-1.46661,-0.890012,-0.484856,0.148327,0,-0.719606,-0.894098,0.927968
MOp,CTX,55,0.830671,3.55221e-05,0.728406,1.1235,1.13058,1.13705,1.093,0.761249,1.01603,0.646544,1.17652,1.17652,1.17652,0.918511,1.03963,0.943696,0.445258,-0.231722,0,0.661468,0.400961,-0.165114
MOs,CTX,40,0.917317,-0.000106566,1.18246,0.840283,0.859435,0.877928,1.13728,0.90628,1.15316,0.714738,1.29342,1.29342,1.29342,1.11977,1.24316,1.03572,0.527174,-0.170188,0,0.573097,0.343733,-0.0976908
OT,CNU,15,-1.86138,-5.32831e-05,-2.82554,-1.50388,-1.55124,-1.59955,-1.36783,-0.540418,-1.89131,-2.94318,-1.55677,-1.55677,-1.55677,-1.68894,-0.944102,-1.22017,-0.724237,-1.12097,0,-0.124199,-0.132455,-1.8783
RSPv,CTX,27,1.77231,-7.10441e-05,-0.0850282,2.03961,2.02192,2.00352,1.11467,0.763915,0.807701,0.855193,1.57057,1.57057,1.57057,1.20786,0.587522,2.35901,0.734757,-0.35647,0,0.0737786,-0.224252,1.00029
RT,BS,34,-1.99936,-8.88051e-05,-1.29307,-1.82861,-1.84279,-1.85561,-1.5353,0.70039,-0.0818003,-2.88109,-1.66663,-1.66663,-1.66663,0.0237288,-0.469488,-1.33564,-0.12096,-0.210146,0,0.849619,-0.0427725,-2.36587
SMT,BS,13,1.17877,-3.55221e-05,0.11524,0.101048,0.102661,0.104308,-0.885296,0.0241935,-0.00947919,0.76752,0.335035,0.335036,0.335036,0.0100051,-0.423298,0.398011,0.397022,1.67074,0,-1.48508,-0.785416,1.35483
SSp-bfd,CTX,58,0.495835,5.32831e-05,-0.220873,1.05689,1.04381,1.03049,0.719366,0.831007,0.673883,0.497269,0.895523,0.895522,0.895525,0.860554,0.707624,0.965619,0.505127,-0.588079,0,0.947843,0.624815,0.134192
SSp-ll,CTX,16,0.226729,-5.32831e-05,-0.0315025,1.41364,1.40194,1.38977,0.94347,0.919019,0.695812,0.299683,0.944857,0.944862,0.944859,0.696642,0.646246,0.935331,0.288964,-1.26037,0,1.18887,0.820858,-0.0384042
SSp-m,CTX,84,0.485672,0.000124327,-0.171893,0.69483,0.686093,0.676759,1.00814,0.894014,1.02113,0.555784,0.846326,0.846324,0.846324,1.02542,0.801867,1.27194,0.183438,-0.53219,0,1.00955,0.777617,-0.003409
SSp-n,CTX,27,0.497472,-7.10441e-05,-0.0507717,0.569297,0.563685,0.55797,0.601394,0.893469,1.05102,0.511609,0.836657,0.836656,0.836656,0.94819,0.877513,0.859422,0.427182,-0.436916,0,0.728214,0.670798,-0.106262
SSp-ul,CTX,32,0.348501,-8.88051e-05,-0.118214,0.603076,0.595735,0.588301,0.983391,0.892285,0.629495,0.529603,0.564606,0.564605,0.564605,0.405338,0.63294,0.736651,0.481826,-0.375531,0,0.868934,0.677309,-0.495475
